"Method","tau","n","p","seed","beta0","beta1","beta2","time"
"mRock_global",0.9,10000,2,115,-0.927961224926868,0.853589040559748,-0.548957115828486,14.788
"two_step_Neyman",0.9,10000,2,116,-1.59085221620674,1.82271328910289,-0.861953883923462,0.0910000000000011
"two_step_LS",0.9,10000,2,116,-0.675207195689912,0.430297160730028,-0.402674155454861,0.0910000000000011
"mRock",0.9,10000,2,116,-0.0985450049461267,0.0939936316177543,-0.446801438121796,1.934
"mRock_global",0.9,10000,2,116,-0.129312526902726,0.109851280376825,-0.594566542811549,17.469
"two_step_Neyman",0.9,10000,2,117,-1.740512861641,1.68001642512814,0.747234457045451,0.0980000000000025
"two_step_LS",0.9,10000,2,117,1.41785199508643,-1.37214759625188,0.681907951355612,0.0980000000000025
"mRock",0.9,10000,2,117,-0.039322559721219,0.150543935846823,0.668932686169825,1.996
"mRock_global",0.9,10000,2,117,-1.63018970560624,1.50031152179506,0.921693770581641,14.844
"two_step_Neyman",0.9,10000,2,118,2.41162456050082,-3.69372331142947,-0.930377102996943,0.0899999999999963
"two_step_LS",0.9,10000,2,118,2.13259009494956,-3.97375202601224,-0.37826015645129,0.0899999999999963
"mRock",0.9,10000,2,118,0.112298289152347,-0.165947698552279,-2.16968222170262,2.013
"mRock_global",0.9,10000,2,118,0.873402492521266,-0.105557180400696,-3.06469796321052,20.605
"two_step_Neyman",0.9,10000,2,119,-0.988116670386464,0.877324163232401,1.38059487919369,0.088000000000001
"two_step_LS",0.9,10000,2,119,0.39145152431168,-0.415804132936114,1.32399126687227,0.088000000000001
"mRock",0.9,10000,2,119,0.167127552540735,-0.115829187812982,1.25525648634043,1.953
"mRock_global",0.9,10000,2,119,-0.639900731725098,1.09804074521194,0.814266356837635,17.506
"two_step_Neyman",0.9,10000,2,12,1.40775983498875,-0.883181854201889,-0.564146507851106,0.100000000000001
"two_step_LS",0.9,10000,2,12,2.03797392272346,-0.718167525003336,-1.35331234906022,0.100000000000001
"mRock",0.9,10000,2,12,0.215806270740409,-0.195010016480068,0.116791635820334,1.951
"mRock_global",0.9,10000,2,12,1.04123950237946,-1.29822880550616,0.184905137820351,17.353
"two_step_Neyman",0.9,10000,2,120,-2.69646346168336,3.40887080345121,-0.280063837908202,0.0929999999999964
"two_step_LS",0.9,10000,2,120,-0.901858154322224,2.10212786193929,-0.774055361922436,0.0929999999999964
"mRock",0.9,10000,2,120,-0.358173697948069,0.321954977465615,0.649572056349797,2.213
"mRock_global",0.9,10000,2,120,0.537444110339906,0.517968754846342,-0.474462536281052,21.165
"two_step_Neyman",0.9,10000,2,121,-1.61433673064111,3.25966143898923,-2.53252576068543,0.0939999999999941
"two_step_LS",0.9,10000,2,121,-2.3862668962022,2.56164017101657,-1.06648990198379,0.0939999999999941
"mRock",0.9,10000,2,121,-0.195303096872538,0.426257095341051,-1.02607365480749,2.212
"mRock_global",0.9,10000,2,121,0.879650600052146,-0.0063193596267066,-1.79468459081384,15.429
"two_step_Neyman",0.9,10000,2,122,0.414859305865214,-1.694772072993,2.0863091562786,0.100000000000001
"two_step_LS",0.9,10000,2,122,-1.51527019477315,0.75564843022529,1.51290651525055,0.100000000000001
"mRock",0.9,10000,2,122,0.0811050653800525,-0.115741835812599,0.999067697512146,1.939
"mRock_global",0.9,10000,2,122,-0.557344917656618,0.491220003319929,1.3189097473761,17.816
"two_step_Neyman",0.9,10000,2,123,3.39963124577834,-2.42468871845697,-2.56219475380347,0.0869999999999962
"two_step_LS",0.9,10000,2,123,1.834340860838,-0.34311175825838,-3.06569818219594,0.0869999999999962
"mRock",0.9,10000,2,123,0.194317337523704,-0.201798193984888,-1.38628124394295,2.058
"mRock_global",0.9,10000,2,123,1.11184607196751,-1.39155260155062,-1.12794139948508,21.439
"two_step_Neyman",0.9,10000,2,124,2.92973661662825,-4.00039589005425,1.49237065634908,0.109999999999999
"two_step_LS",0.9,10000,2,124,1.03268076682391,-2.78729147225619,2.16985095472874,0.109999999999999
"mRock",0.9,10000,2,124,0.527851581750928,-0.504213985313034,0.431255361616053,2.063
"mRock_global",0.9,10000,2,124,2.00560856198865,-0.606654697048004,-0.445487953763376,15.478
"two_step_Neyman",0.9,10000,2,125,2.65699354733776,-1.48459331517289,-0.266952489027574,0.0879999999999939
"two_step_LS",0.9,10000,2,125,-0.261937370329693,0.437058123000134,0.720708192027189,0.0879999999999939
"mRock",0.9,10000,2,125,0.106756419462915,0.0278097134732245,1.02822590755507,2.062
"mRock_global",0.9,10000,2,125,-0.0785703050397304,-0.230494061833707,1.09960263935737,15.474
"two_step_Neyman",0.9,10000,2,126,-5.40676295134496,1.10369736574962,8.0667123880806,0.101000000000003
"two_step_LS",0.9,10000,2,126,-3.82783229831876,1.0613967522535,6.52371495827144,0.101000000000003
"mRock",0.9,10000,2,126,-0.240124322645893,0.157855211721404,3.83219077310764,1.975
"mRock_global",0.9,10000,2,126,2.39893847104104,-2.63980622561652,4.94661288363498,14.911
"two_step_Neyman",0.9,10000,2,127,3.5550181204624,-1.22479782079141,-3.4418996885427,0.0829999999999984
"two_step_LS",0.9,10000,2,127,1.07517706527368,-0.116389622536529,-2.07413078521918,0.0829999999999984
"mRock",0.9,10000,2,127,0.359645383080795,-0.242054007809264,-1.03914734652145,1.979
"mRock_global",0.9,10000,2,127,1.70884914677024,-1.59651559816645,-1.61697043921683,17.789
"two_step_Neyman",0.9,10000,2,128,0.853369743859067,0.271674594268029,-1.78672265077624,0.103999999999999
"two_step_LS",0.9,10000,2,128,1.88758398999035,-1.30231233162076,-1.28848433385141,0.103999999999999
"mRock",0.9,10000,2,128,-0.0226681763290015,-0.00827734010111669,-0.517457973688792,2.002
"mRock_global",0.9,10000,2,128,1.07445717594388,-1.50325050166135,-0.262709336269538,20.964
"two_step_Neyman",0.9,10000,2,129,-1.05320223130982,1.09114077904249,0.517330224833557,0.113999999999997
"two_step_LS",0.9,10000,2,129,-1.9225453800565,1.09508772144598,1.38308731252478,0.113999999999997
"mRock",0.9,10000,2,129,-0.186609876831279,0.248129419183164,0.636463186861064,2.034
"mRock_global",0.9,10000,2,129,-0.35259541102112,0.15291025315722,0.855913931862545,18.041
"two_step_Neyman",0.9,10000,2,13,1.61984510828872,-0.905371994156797,-1.90760590183895,0.103000000000002
"two_step_LS",0.9,10000,2,13,3.56052607453757,-1.76802949708582,-2.98336603734087,0.103000000000002
"mRock",0.9,10000,2,13,0.277582713849931,-0.144300668545177,-1.24278861010005,1.938
"mRock_global",0.9,10000,2,13,1.24960444072455,-0.517874708971926,-1.78542161897425,14.949
"two_step_Neyman",0.9,10000,2,130,-4.98478164313094,3.47619711419053,1.78093850480776,0.0829999999999984
"two_step_LS",0.9,10000,2,130,-2.59693545269639,2.72539475120904,0.135782904894569,0.0829999999999984
"mRock",0.9,10000,2,130,-0.470859421768246,0.500849219169103,0.297550599669208,1.954
"mRock_global",0.9,10000,2,130,-1.36331108896575,1.12807903418294,1.0079744942504,14.974
"two_step_Neyman",0.9,10000,2,131,-2.89454643344447,1.97104626365544,1.19787755350886,0.103999999999999
"two_step_LS",0.9,10000,2,131,-0.996086686127544,1.09949695256971,0.185913625362346,0.103999999999999
"mRock",0.9,10000,2,131,-0.358472533204999,0.369022975238327,0.406659985627925,2.031
"mRock_global",0.9,10000,2,131,-1.97283121113882,1.65849620629946,1.2277803627412,15.766
"two_step_Neyman",0.9,10000,2,132,2.07745196042994,-1.56721199919595,-0.283140758121363,0.134
"two_step_LS",0.9,10000,2,132,0.104781174790951,-0.417224355483163,0.556288935706718,0.134
"mRock",0.9,10000,2,132,-0.0114924493134838,-0.074703447074826,0.546790173690638,2.029
"mRock_global",0.9,10000,2,132,1.63123602539668,-1.19223623719885,-0.297702121027527,15.404
"two_step_Neyman",0.9,10000,2,133,1.14827251394272,1.12210739270119,-4.62177983423693,0.0930000000000035
"two_step_LS",0.9,10000,2,133,1.73883256607591,0.0992518248246319,-4.175115097413,0.0930000000000035
"mRock",0.9,10000,2,133,0.310081772236683,0.0187505303491116,-2.42233087554925,1.921
"mRock_global",0.9,10000,2,133,0.58717522848528,-0.00432983406232301,-3.20912617988083,17.481
"two_step_Neyman",0.9,10000,2,134,2.65484328884507,-0.89713090300687,-1.41122391623797,0.0919999999999987
"two_step_LS",0.9,10000,2,134,2.10301523496944,-0.607296905923483,-1.13962827118094,0.0919999999999987
"mRock",0.9,10000,2,134,0.431975958349135,-0.237095720432874,0.292814928179226,1.942
"mRock_global",0.9,10000,2,134,2.26896740316567,-0.855303059068182,-0.86744714050279,17.696
"two_step_Neyman",0.9,10000,2,135,-4.59843754654326,2.74887955601066,2.30001080959192,0.100000000000001
"two_step_LS",0.9,10000,2,135,-1.1630013042239,0.861563184883353,0.707234563465761,0.100000000000001
"mRock",0.9,10000,2,135,-0.0943953639795057,0.168029389270452,0.450588677180932,1.935
"mRock_global",0.9,10000,2,135,0.0685077595527437,0.978647472188175,0.299777441840973,17.3
"two_step_Neyman",0.9,10000,2,136,-3.37535007291826,1.55901065765783,1.84893133007708,0.114000000000004
"two_step_LS",0.9,10000,2,136,0.777164507307635,-0.574933688356781,-0.171338772889513,0.114000000000004
"mRock",0.9,10000,2,136,-0.429776989914475,0.333324174909114,0.182042850551269,1.93
"mRock_global",0.9,10000,2,136,-1.16285787531614,1.26532132185719,0.674871244264608,17.45
"two_step_Neyman",0.9,10000,2,137,-0.842177276412119,0.546788907864642,-0.266602070719799,0.110999999999997
"two_step_LS",0.9,10000,2,137,-1.18759825690345,2.02512896651468,-1.43025170307574,0.110999999999997
"mRock",0.9,10000,2,137,0.214867986692592,-0.0652683119893824,-0.576977172762383,1.948
"mRock_global",0.9,10000,2,137,0.953324837471414,-0.814869898981509,-0.309561353605332,17.819
"two_step_Neyman",0.9,10000,2,138,-6.64388566624151,5.0438357513934,2.32484469006873,0.0990000000000002
"two_step_LS",0.9,10000,2,138,-0.786432340098472,1.35843630971832,0.169774523847082,0.0990000000000002
"mRock",0.9,10000,2,138,-0.304575917640331,0.258629233956086,0.89407312842053,1.936
"mRock_global",0.9,10000,2,138,-0.672642261951586,1.08978010559668,0.978927346327851,14.819
"two_step_Neyman",0.9,10000,2,139,0.456773908921346,1.21719532686218,-1.96859664916867,0.101999999999997
"two_step_LS",0.9,10000,2,139,1.24516544557264,-1.40948641523211,-0.10438236510754,0.101999999999997
"mRock",0.9,10000,2,139,-0.0282882856346456,0.0549242749890309,-0.110681032589284,1.928
"mRock_global",0.9,10000,2,139,0.425837553047923,-0.183065656454731,-0.563583540374736,20.856
"two_step_Neyman",0.9,10000,2,14,3.67881280335842,-2.36744091041006,-2.06252526483867,0.104000000000006
"two_step_LS",0.9,10000,2,14,2.05415086834947,-1.40081748091398,-1.41478584959371,0.104000000000006
"mRock",0.9,10000,2,14,0.137726190146463,-0.141733934384597,-0.555853568415714,1.937
"mRock_global",0.9,10000,2,14,1.26453430775,-1.75519381028116,-0.578855513385662,20.599
"two_step_Neyman",0.9,10000,2,140,4.04027158030127,-1.79431874070494,-3.82194715175362,0.116
"two_step_LS",0.9,10000,2,140,0.681694110480541,0.538579943959367,-2.82268594910585,0.116
"mRock",0.9,10000,2,140,-0.0177769106705048,-0.0147098883451902,-1.44230393178161,1.962
"mRock_global",0.9,10000,2,140,-0.623902965869682,1.02910416475819,-2.190097299697,17.575
"two_step_Neyman",0.9,10000,2,141,0.659542490832026,-1.91381874172075,2.61117420528112,0.124000000000002
"two_step_LS",0.9,10000,2,141,-2.56165579457577,0.518251899831482,3.42980574137385,0.124000000000002
"mRock",0.9,10000,2,141,0.176133439197452,-0.225639280407652,1.57201615069256,1.971
"mRock_global",0.9,10000,2,141,0.923648485456212,-1.26041686921702,2.11978541792072,20.73
"two_step_Neyman",0.9,10000,2,142,2.23747084018941,-2.39941392530972,-0.462014289609598,0.0830000000000055
"two_step_LS",0.9,10000,2,142,-0.710564970415645,0.422145989570261,-0.280380507386255,0.0830000000000055
"mRock",0.9,10000,2,142,0.282819186001327,-0.286624617884594,-0.466669432316365,1.962
"mRock_global",0.9,10000,2,142,0.714504768494892,-0.0952359860018985,-0.614097976320082,21.304
"two_step_Neyman",0.9,10000,2,143,-1.81036555053282,-1.5652489483568,2.98892648862787,0.0730000000000004
"two_step_LS",0.9,10000,2,143,-0.499487309654619,-0.955975327091516,1.03358774298313,0.0730000000000004
"mRock",0.9,10000,2,143,-0.11042712883054,-0.00214223119523282,-0.0691068402436343,2.325
"mRock_global",0.9,10000,2,143,0.927165340853684,-1.38435186039679,0.992679015806459,22.606
"two_step_Neyman",0.9,10000,2,144,-4.66318769237725,0.990090660213113,6.2092247845153,0.0940000000000012
"two_step_LS",0.9,10000,2,144,-0.821679398245298,-0.265173052569302,3.6531458801682,0.0940000000000012
"mRock",0.9,10000,2,144,-0.122743218903183,0.123875198131287,2.64274702827018,1.917
"mRock_global",0.9,10000,2,144,-0.406925807545293,0.606141471845196,3.34793687424933,14.533
"two_step_Neyman",0.9,10000,2,145,3.17084017618372,-2.84815751368208,-0.807731124392902,0.100000000000001
"two_step_LS",0.9,10000,2,145,2.76622496888018,-2.5246181111293,-0.736643340023335,0.100000000000001
"mRock",0.9,10000,2,145,0.202894738308541,-0.184735496716212,-0.466199430148535,2.104
"mRock_global",0.9,10000,2,145,-0.321245136482572,0.226791644901947,-0.327464254562358,19.463
"two_step_Neyman",0.9,10000,2,146,1.46943791790754,0.255154986787537,-6.20147606495085,0.0919999999999987
"two_step_LS",0.9,10000,2,146,1.79472927345031,-0.448887319946383,-5.85516495094649,0.0919999999999987
"mRock",0.9,10000,2,146,0.0619663998144988,0.0526108915857586,-4.46645920310297,2.02
"mRock_global",0.9,10000,2,146,0.0397745434914638,0.268278070266252,-4.73545193118943,21.352
"two_step_Neyman",0.9,10000,2,147,-3.99188446518301,4.47953256402474,-2.38438958043463,0.0900000000000034
"two_step_LS",0.9,10000,2,147,-5.31621406439095,4.53346394310496,-1.11831733704686,0.0900000000000034
"mRock",0.9,10000,2,147,-0.364048058006931,0.450823004254119,-2.10097944674955,1.98
"mRock_global",0.9,10000,2,147,0.40916336390892,-0.330663075840458,-2.35012783232074,15.584
"two_step_Neyman",0.9,10000,2,148,-0.231896734264827,0.0995923657302495,1.66068800187655,0.116999999999997
"two_step_LS",0.9,10000,2,148,-0.0646079173977805,-0.349578129122106,1.93746544107496,0.116999999999997
"mRock",0.9,10000,2,148,-0.0829016217545044,-0.0439759483715552,1.8843405139517,1.996
"mRock_global",0.9,10000,2,148,-0.736773366394598,0.789924118424097,1.86944920256158,15.867
"two_step_Neyman",0.9,10000,2,149,-5.6179503965496,4.34947398143771,1.87425904613906,0.113999999999997
"two_step_LS",0.9,10000,2,149,-4.55737891675121,3.97388159775996,1.21275744896738,0.113999999999997
"mRock",0.9,10000,2,149,-0.216786111093722,0.386451175330636,0.398680238406726,1.947
"mRock_global",0.9,10000,2,149,-0.247417854740663,0.785918408668707,0.630062383297258,18.94
"two_step_Neyman",0.9,10000,2,15,-1.0005499067847,1.33422698671063,-2.6867344332809,0.111000000000004
"two_step_LS",0.9,10000,2,15,-2.48019211565867,1.11978036003715,-0.995814556946328,0.111000000000004
"mRock",0.9,10000,2,15,0.00643272907675563,0.0210682762944012,-2.23686828432646,1.936
"mRock_global",0.9,10000,2,15,-0.88861479215468,0.939412985790994,-2.33014144166863,17.483
"two_step_Neyman",0.9,10000,2,150,1.38964498739024,0.523885621922124,-2.17068881455289,0.0829999999999984
"two_step_LS",0.9,10000,2,150,0.684914814493312,1.18245823003195,-2.12393500444905,0.0829999999999984
"mRock",0.9,10000,2,150,-0.144596655018809,0.350947540809311,-0.211541420320629,1.93
"mRock_global",0.9,10000,2,150,0.209678556400999,-0.225804420736861,-0.758187238028995,18.711
"two_step_Neyman",0.9,10000,2,151,2.672369494394,0.36065895526427,-5.1732557759035,0.0940000000000012
"two_step_LS",0.9,10000,2,151,0.430150095933239,0.945205447887741,-3.50730402098425,0.0940000000000012
"mRock",0.9,10000,2,151,-0.0414534721429174,-0.0666937540678529,-1.90832341893002,1.912
"mRock_global",0.9,10000,2,151,0.242309127759452,-0.613750108167149,-2.38374686019911,18.837
"two_step_Neyman",0.9,10000,2,152,-0.251674021283933,0.927430518764153,-0.255304351996955,0.106999999999999
"two_step_LS",0.9,10000,2,152,1.58229539334889,-0.895059580795906,-0.244067077998437,0.106999999999999
"mRock",0.9,10000,2,152,-0.0500608774806262,0.0585536529457498,0.673451302282871,1.941
"mRock_global",0.9,10000,2,152,0.602136597639335,-0.242881356562167,0.504965430687804,20.656
"two_step_Neyman",0.9,10000,2,153,-0.135675661490446,-0.667319713513812,4.34768018674116,0.125
"two_step_LS",0.9,10000,2,153,2.27083754959144,-2.91665948137954,4.15923523877895,0.125
"mRock",0.9,10000,2,153,0.133872687614197,-0.089514251992064,3.5539087741781,1.933
"mRock_global",0.9,10000,2,153,3.4646659315416,-1.51397830677279,2.03930078793201,14.782
"two_step_Neyman",0.9,10000,2,154,-0.387643325044154,1.88776237735286,-1.77950473854993,0.113
"two_step_LS",0.9,10000,2,154,-1.98905868683451,1.65842883889298,0.11062312622613,0.113
"mRock",0.9,10000,2,154,-0.450026019861617,0.277713739512783,0.0994634593794927,1.958
"mRock_global",0.9,10000,2,154,-0.871581464014594,1.48247173849104,-0.539877172711925,20.853
"two_step_Neyman",0.9,10000,2,155,2.20173490353954,-0.555672178982166,-2.33353843325732,0.116
"two_step_LS",0.9,10000,2,155,-0.320022158232546,-0.622782963491291,0.251379850143067,0.116
"mRock",0.9,10000,2,155,0.24136510447634,-0.159070535612091,-0.520848864115294,1.953
"mRock_global",0.9,10000,2,155,-0.729481911122931,0.446147345735329,-0.427148882636587,20.75
"two_step_Neyman",0.9,10000,2,156,0.793711609642253,-2.32722803891716,2.1920051894797,0.107999999999997
"two_step_LS",0.9,10000,2,156,3.0344472959321,-3.26378430275147,0.895446825806033,0.107999999999997
"mRock",0.9,10000,2,156,0.306799107061117,-0.328068865742317,0.746653511484539,1.949
"mRock_global",0.9,10000,2,156,1.78720654375702,-2.33797936793478,2.03492452318054,17.595
"two_step_Neyman",0.9,10000,2,157,-0.736000888939163,2.29237408543871,-3.10054395675887,0.111000000000004
"two_step_LS",0.9,10000,2,157,-1.09433787810482,2.09194249761693,-2.56940280722405,0.111000000000004
"mRock",0.9,10000,2,157,-0.0906971507503842,0.164684228814802,-1.3739792247115,1.981
"mRock_global",0.9,10000,2,157,0.859284361999778,-0.473387312909897,-2.41038852329424,20.692
"two_step_Neyman",0.9,10000,2,158,-2.85593981611446,2.89862681652774,-0.973566530297418,0.0929999999999964
"two_step_LS",0.9,10000,2,158,-0.278058883751108,0.270616659735333,-0.906247781485789,0.0929999999999964
"mRock",0.9,10000,2,158,-0.135235763527708,0.252103011074389,-0.899074112683351,1.984
"mRock_global",0.9,10000,2,158,-0.381121868655815,1.40899514850702,-1.88084795198009,17.185
"two_step_Neyman",0.9,10000,2,159,-1.28081719290413,3.36564684914811,-1.82868706648648,0.088000000000001
"two_step_LS",0.9,10000,2,159,-1.78405031951113,2.45060342702006,-0.417892903771985,0.088000000000001
"mRock",0.9,10000,2,159,-0.153664063379965,0.332457655286691,0.304140082276362,1.94
"mRock_global",0.9,10000,2,159,1.36900179043943,-0.753771168086762,-0.788201411402682,14.697
"two_step_Neyman",0.9,10000,2,16,-4.69400258451598,2.93717642764996,3.39778191159103,0.0829999999999984
"two_step_LS",0.9,10000,2,16,-1.05784618495896,1.16004532128286,1.52712088445691,0.0829999999999984
"mRock",0.9,10000,2,16,-0.335807735309601,0.230262467810047,1.81938070514693,1.933
"mRock_global",0.9,10000,2,16,-0.643582338300248,0.240264594508578,2.26488737891874,14.858
"two_step_Neyman",0.9,10000,2,160,0.954711387859414,1.67781498193368,-3.42276871182473,0.105000000000004
"two_step_LS",0.9,10000,2,160,0.683357259953986,2.11852791595196,-3.58207448808845,0.105000000000004
"mRock",0.9,10000,2,160,0.143352763528325,0.0754188924116579,-1.16279468604044,2.198
"mRock_global",0.9,10000,2,160,0.143206423871756,0.52583807371222,-1.99229005560716,18.413
