"Method","tau","n","p","seed","num_bin","beta0","beta1","beta2","time"
"Average of linear quantiles",0.9,10000,2,151,NA,3.49763239833073,-6.70530715989155,-0.586671974155338,0.392999999999999
"Average of linear quantiles",0.9,10000,2,152,NA,4.08612343185604,-3.22346270083124,-0.811215048646384,0.408999999999999
"Average of linear quantiles",0.9,10000,2,153,NA,2.69414231516914,-1.39385709449422,1.01296471740994,0.373000000000001
"Average of linear quantiles",0.9,10000,2,154,NA,2.73746954427379,-0.811009333324804,-2.49611361914556,0.452999999999999
"Average of linear quantiles",0.9,10000,2,155,NA,4.09145905098653,-0.560817934996608,-0.668436414833242,0.446999999999999
"Average of linear quantiles",0.9,10000,2,156,NA,4.20395094967884,-5.73232055798418,-1.65442458940343,0.394
"Average of linear quantiles",0.9,10000,2,157,NA,2.33001727445407,-1.24150708688442,-0.135901947670026,0.401
"Average of linear quantiles",0.9,10000,2,158,NA,3.65556717368044,-4.27654997793311,-0.990902783693954,0.477
"Average of linear quantiles",0.9,10000,2,159,NA,2.84213373177655,2.29502985823836,-2.35722207706942,0.432000000000002
"Average of linear quantiles",0.9,10000,2,16,NA,2.61431321546958,-4.66459194191577,-1.25698974271224,0.407999999999998
"Average of linear quantiles",0.9,10000,2,160,NA,2.3705587151248,-1.90309988440564,-0.547686855445732,0.43
"Average of linear quantiles",0.9,10000,2,161,NA,3.67924080392121,-3.88878897875636,0.525924669680359,0.442999999999998
"Average of linear quantiles",0.9,10000,2,162,NA,1.53652086795343,1.28736309853058,-0.782324048681498,0.469000000000001
"Average of linear quantiles",0.9,10000,2,163,NA,3.72783422084088,-2.00683554637861,-3.95058967056308,0.382
"Average of linear quantiles",0.9,10000,2,164,NA,2.77787190182406,-0.0864151665792132,-0.920149991170692,0.426
"Average of linear quantiles",0.9,10000,2,165,NA,3.21972769152838,-2.63803654601708,-3.50323531080901,0.443000000000001
"Average of linear quantiles",0.9,10000,2,166,NA,0.681286016245492,-4.88128950776077,0.492377295346868,0.429
"Average of linear quantiles",0.9,10000,2,167,NA,3.25745116756843,-7.27466797676498,-3.18843377341492,0.426000000000002
"Average of linear quantiles",0.9,10000,2,168,NA,4.0380046876375,-3.60216567675614,-2.42127904477636,0.441000000000001
"Average of linear quantiles",0.9,10000,2,169,NA,0.998472469938782,-1.37390786257023,-2.78323685420697,0.419
"Average of linear quantiles",0.9,10000,2,17,NA,2.84385463836577,-2.93282185323509,0.333350276076493,0.454999999999998
"Average of linear quantiles",0.9,10000,2,170,NA,3.21393180264292,-4.95557508316936,-0.287387922478635,0.369000000000002
"Average of linear quantiles",0.9,10000,2,171,NA,3.9609924679171,0.568973811380625,-2.49740819592782,0.421000000000001
"Average of linear quantiles",0.9,10000,2,172,NA,3.38455239613608,3.82458290834227,-5.06423844240844,0.441999999999998
"Average of linear quantiles",0.9,10000,2,173,NA,2.26710622962045,1.62099986484905,-0.217039494966411,0.440000000000001
"Average of linear quantiles",0.9,10000,2,174,NA,3.03851556609741,-4.67254794258721,-2.02194717165563,0.472000000000001
"Average of linear quantiles",0.9,10000,2,175,NA,1.89325897874387,-0.0818584892258607,-3.1939893283513,0.404
"Average of linear quantiles",0.9,10000,2,176,NA,1.41047405904872,-0.628642890466004,0.180899857976681,0.426
"Average of linear quantiles",0.9,10000,2,177,NA,2.62047088781375,-4.01421069790161,-2.20289030547731,0.402999999999999
"Average of linear quantiles",0.9,10000,2,178,NA,2.48794582473857,-0.577172737753118,-2.23726515005741,0.477999999999998
"Average of linear quantiles",0.9,10000,2,179,NA,4.34124182421925,-0.703087529258668,2.58099039145486,0.452999999999999
"Average of linear quantiles",0.9,10000,2,18,NA,3.40716159238305,1.09440913678048,-1.15122194647283,0.445
"Average of linear quantiles",0.9,10000,2,180,NA,2.9692358918555,0.350742194263266,-0.964371383067546,0.431000000000001
"Average of linear quantiles",0.9,10000,2,181,NA,3.48909301050827,-2.8484597169336,-0.780562119464527,0.449999999999999
"Average of linear quantiles",0.9,10000,2,182,NA,3.54521499340986,-6.71524475267763,0.380646111958983,0.445
"Average of linear quantiles",0.9,10000,2,183,NA,3.76159682086826,-5.27183954332044,0.38486259350059,0.453999999999999
"Average of linear quantiles",0.9,10000,2,184,NA,4.02558319209046,-2.19769705184373,1.04161055621247,0.457000000000001
"Average of linear quantiles",0.9,10000,2,185,NA,3.87668245158846,-0.940955138809433,-3.13247071264044,0.437999999999999
"Average of linear quantiles",0.9,10000,2,186,NA,3.87092693746377,0.0536499132217316,-3.37760350119809,0.404
"Average of linear quantiles",0.9,10000,2,187,NA,5.02501501116422,-1.16308366467094,-2.16367067704957,0.432
"Average of linear quantiles",0.9,10000,2,188,NA,2.22099658782184,-5.95625055743376,-2.14136773592436,0.391999999999999
"Average of linear quantiles",0.9,10000,2,189,NA,1.88105178285517,-1.82099144131694,1.65946376933717,0.411999999999999
"Average of linear quantiles",0.9,10000,2,19,NA,2.16445178370619,-1.77993595927994,-0.482524205431375,0.523000000000003
"Average of linear quantiles",0.9,10000,2,190,NA,3.61454527291308,-2.99757522792285,-0.966638537447328,0.437999999999999
"Average of linear quantiles",0.9,10000,2,191,NA,4.63992809666077,-0.762586870008437,-1.71714520662775,0.381
"Average of linear quantiles",0.9,10000,2,192,NA,1.63465241450305,-1.2219238710043,0.429715052135506,0.423000000000002
"Average of linear quantiles",0.9,10000,2,193,NA,2.71117999298462,-1.78530692897683,-0.674534911375871,0.394
"Average of linear quantiles",0.9,10000,2,194,NA,2.52302943165427,0.964269781581945,-1.0716020906874,0.415999999999999
"Average of linear quantiles",0.9,10000,2,195,NA,3.95223278608516,-2.05014287054444,-4.01042402216946,0.389999999999999
"Average of linear quantiles",0.9,10000,2,196,NA,3.34971775227065,-0.209452151684196,0.277186978213652,0.401999999999999
"Average of linear quantiles",0.9,10000,2,197,NA,2.12349898097144,-4.57241082773584,-0.0748026272749223,0.442
"Average of linear quantiles",0.9,10000,2,198,NA,3.63825891621526,-6.28867578268847,-4.66899333850594,0.370000000000001
"Average of linear quantiles",0.9,10000,2,199,NA,3.3770118008873,-3.72768893331676,0.184515689795286,0.445
"Average of linear quantiles",0.9,10000,2,2,NA,3.75836375578033,-0.104141591086143,0.463477090230831,0.456999999999999
"Average of linear quantiles",0.9,10000,2,20,NA,3.85488618510747,-2.06004608804983,-2.93836942209003,0.444999999999997
"Average of linear quantiles",0.9,10000,2,200,NA,3.12164665308306,-4.68165689521697,-0.697001209523343,0.407999999999999
"Average of linear quantiles",0.9,10000,2,201,NA,2.97884118342665,-2.22396408598635,-0.97246420564744,0.438000000000001
"Average of linear quantiles",0.9,10000,2,202,NA,2.39970560814243,-4.37303839117535,2.18750505661643,0.427
"Average of linear quantiles",0.9,10000,2,203,NA,3.49504968249747,1.63653779375903,-2.13382213174191,0.434999999999999
"Average of linear quantiles",0.9,10000,2,204,NA,3.2664703946092,-5.58463738306286,-1.31024905481116,0.417000000000002
"Average of linear quantiles",0.9,10000,2,205,NA,2.69641809247331,-0.0421156265048097,0.113760798565657,0.452000000000002
"Average of linear quantiles",0.9,10000,2,206,NA,3.40422626791514,-2.01483891699292,-2.23255254572892,0.393000000000001
"Average of linear quantiles",0.9,10000,2,207,NA,5.48881098999727,-1.44724029254384,-2.68645469590146,0.385
"Average of linear quantiles",0.9,10000,2,208,NA,3.44062426115438,-3.53896168204103,-1.10062159488409,0.388999999999999
"Average of linear quantiles",0.9,10000,2,209,NA,2.92401829871539,0.711600064325799,1.18081049438814,0.388999999999999
"Average of linear quantiles",0.9,10000,2,21,NA,2.64073981825692,-0.449950312186914,-3.67510230370976,0.453999999999999
"Average of linear quantiles",0.9,10000,2,210,NA,1.99555670759595,-2.06875110786331,-0.69032966341225,0.428999999999998
"Average of linear quantiles",0.9,10000,2,211,NA,2.79620642732187,0.321480377581994,-0.653547918319892,0.417999999999999
"Average of linear quantiles",0.9,10000,2,212,NA,3.64557143961497,-3.79304471001675,0.767930611006776,0.423
"Average of linear quantiles",0.9,10000,2,213,NA,2.80922667767407,-2.60710647259294,-3.71204839698143,0.388999999999999
"Average of linear quantiles",0.9,10000,2,214,NA,3.48190055519871,-0.692112383437319,0.248273855930006,0.443999999999999
"Average of linear quantiles",0.9,10000,2,215,NA,2.52106459157823,-1.96729250117493,-1.97912326345153,0.451999999999998
"Average of linear quantiles",0.9,10000,2,216,NA,3.56897548301692,-3.14941117278273,-4.56916179252647,0.437000000000001
"Average of linear quantiles",0.9,10000,2,217,NA,3.6126586202085,-1.05894501421768,-2.59563157586644,0.454000000000001
"Average of linear quantiles",0.9,10000,2,218,NA,3.18692381593576,-5.00952737874941,1.18233467701427,0.477999999999998
"Average of linear quantiles",0.9,10000,2,219,NA,1.96532882464667,-1.88636107964139,-2.96440671821587,0.488999999999999
"Average of linear quantiles",0.9,10000,2,22,NA,2.73297862760194,-4.66107153735568,-0.841141557257823,0.435000000000002
"Average of linear quantiles",0.9,10000,2,220,NA,2.17003906006517,2.00808634876487,-3.35881628000455,0.382
"Average of linear quantiles",0.9,10000,2,221,NA,3.69991055884856,1.3893706596501,1.48788697608447,0.392999999999999
"Average of linear quantiles",0.9,10000,2,222,NA,3.88680300419088,-0.833911087568001,-2.92199663990805,0.393000000000001
"Average of linear quantiles",0.9,10000,2,223,NA,4.33471681637433,-3.36666689708785,-1.72921811872567,0.442
"Average of linear quantiles",0.9,10000,2,224,NA,4.34306899865301,0.275211095121285,-1.60525775636112,0.454000000000001
"Average of linear quantiles",0.9,10000,2,225,NA,1.65972419209897,-4.05694503820128,-1.73645965581749,0.440999999999999
"Average of linear quantiles",0.9,10000,2,226,NA,2.38504882234489,1.95975058382506,-3.20134228792783,0.462
"Average of linear quantiles",0.9,10000,2,227,NA,3.73142482433421,-5.11344484466186,-0.764808750818953,0.43
"Average of linear quantiles",0.9,10000,2,228,NA,3.65520711496669,1.09739727851665,-0.990698125890554,0.421000000000001
"Average of linear quantiles",0.9,10000,2,229,NA,3.42988850182591,-1.19330256738419,0.920453377500968,0.388000000000002
"Average of linear quantiles",0.9,10000,2,23,NA,3.91009141632914,-0.965921212006995,-2.67912567680704,0.442
"Average of linear quantiles",0.9,10000,2,230,NA,0.663358697903401,-4.1871181850698,-0.565235299347966,0.401000000000002
"Average of linear quantiles",0.9,10000,2,231,NA,2.71647142809364,-3.76890984252911,-0.31377966782329,0.413
"Average of linear quantiles",0.9,10000,2,232,NA,3.2913577794084,-3.67760018759446,-2.50477045373863,0.408999999999999
"Average of linear quantiles",0.9,10000,2,233,NA,2.30811017724699,-1.85740730425221,0.448858853181223,0.428000000000001
"Average of linear quantiles",0.9,10000,2,234,NA,2.56872869152176,-1.93547170949224,-1.46107904591356,0.413999999999998
"Average of linear quantiles",0.9,10000,2,235,NA,2.69891702315764,-0.064948384957453,-0.17048179125473,0.414000000000001
"Average of linear quantiles",0.9,10000,2,236,NA,5.35475795171258,-3.15211328618668,0.612942025313065,0.387
"Average of linear quantiles",0.9,10000,2,237,NA,4.20026664265752,-3.18405255452797,-1.88234542882248,0.491
"Average of linear quantiles",0.9,10000,2,238,NA,1.97603227628294,-3.01865668592758,-1.69778455888592,0.501000000000001
"Average of linear quantiles",0.9,10000,2,239,NA,4.00791093812561,-4.66420178814734,-2.81909424126131,0.372999999999998
"Average of linear quantiles",0.9,10000,2,24,NA,1.73886632206989,-4.1539494416199,-2.14359582103312,0.436999999999999
"Average of linear quantiles",0.9,10000,2,240,NA,3.23316758097585,0.273983250507509,-4.27552774994779,0.463000000000001
"Average of linear quantiles",0.9,10000,2,241,NA,2.20369756412683,2.52507564025831,0.87730277308965,0.458000000000002
"Average of linear quantiles",0.9,10000,2,242,NA,3.45250137581282,-2.47813044380031,-3.76708583261124,0.408000000000001
"Average of linear quantiles",0.9,10000,2,243,NA,1.53397254404765,-1.3733219376079,-0.635667215986799,0.451000000000001
"Average of linear quantiles",0.9,10000,2,244,NA,4.39157956805864,-1.57566903918134,-1.54666383845417,0.431999999999999
"Average of linear quantiles",0.9,10000,2,245,NA,3.56054741976689,-2.84063568453394,-2.08228309479915,0.407
"Average of linear quantiles",0.9,10000,2,246,NA,2.33930276642287,0.0101678107423258,-3.36315575495827,0.447000000000003
"Average of linear quantiles",0.9,10000,2,247,NA,2.55743743228237,0.390971858686343,-0.576566667097691,0.43
"Average of linear quantiles",0.9,10000,2,248,NA,2.30629971472482,-2.50349137766369,-2.86021283001191,0.411000000000001
"Average of linear quantiles",0.9,10000,2,249,NA,3.05284714483616,-5.58079238856047,-2.08633155314539,0.384
"Average of linear quantiles",0.9,10000,2,25,NA,2.33269725856846,-3.35211488500133,0.360265749728757,0.395
"Average of linear quantiles",0.9,10000,2,250,NA,3.21992193159647,-4.11528749534649,0.0125671306390376,0.400000000000002
"Average of linear quantiles",0.9,10000,2,251,NA,2.0717029208003,-1.01456244796112,-0.604282940709631,0.441000000000003
"Average of linear quantiles",0.9,10000,2,252,NA,1.13877158195647,-3.43143654453686,-2.43195093227489,0.423000000000002
"Average of linear quantiles",0.9,10000,2,253,NA,4.9334559794133,2.25921885222342,-2.49464674418493,0.43
"Average of linear quantiles",0.9,10000,2,254,NA,2.90301860893021,-3.09463945600227,-2.81667038406865,0.433
"Average of linear quantiles",0.9,10000,2,255,NA,2.13708037820859,-0.204348020901497,-2.05587130701937,0.431000000000001
"Average of linear quantiles",0.9,10000,2,256,NA,4.40006891284086,-5.45911750633686,-0.870426232009145,0.399999999999999
"Average of linear quantiles",0.9,10000,2,257,NA,3.56650870562363,-2.4910732655052,-1.56693142597196,0.404999999999998
"Average of linear quantiles",0.9,10000,2,258,NA,3.03220780079782,-2.18750084047283,0.138222070078176,0.362000000000002
"Average of linear quantiles",0.9,10000,2,259,NA,3.08713788814871,-3.6976970390809,0.586539538592847,0.417
"Average of linear quantiles",0.9,10000,2,26,NA,4.78830666341719,-4.30215286510511,-3.46970717122475,0.452000000000002
"Average of linear quantiles",0.9,10000,2,260,NA,2.19922058719751,-3.73404299696192,0.0593052359195982,0.434999999999999
"Average of linear quantiles",0.9,10000,2,261,NA,4.92466672331211,-0.592536294845887,-2.63514186165969,0.403
"Average of linear quantiles",0.9,10000,2,262,NA,3.05779960340472,-0.0442940064500466,-0.142124840455802,0.577999999999999
"Average of linear quantiles",0.9,10000,2,263,NA,2.1801803296575,-3.42735673952268,1.97074735181771,0.460999999999999
"Average of linear quantiles",0.9,10000,2,264,NA,1.86310723144954,-0.19522565531039,0.490148807262011,0.434000000000001
"Average of linear quantiles",0.9,10000,2,265,NA,2.8176371796838,0.294098997544373,-0.141435561573932,0.439
"Average of linear quantiles",0.9,10000,2,266,NA,2.53458060595005,1.70031149292381,-1.1531253281259,0.446
"Average of linear quantiles",0.9,10000,2,267,NA,3.52055975541245,1.22350646881762,-2.10079621352943,0.385
"Average of linear quantiles",0.9,10000,2,268,NA,4.20692106851951,-0.546121253759668,-5.83652528496816,0.443999999999999
"Average of linear quantiles",0.9,10000,2,269,NA,3.00588197200758,-1.73398103319302,-2.31663132276233,0.444999999999999
"Average of linear quantiles",0.9,10000,2,27,NA,4.14196939249004,4.034430933528,-1.33890935394555,0.407
"Average of linear quantiles",0.9,10000,2,270,NA,2.81204036184671,2.21740518759127,-3.60472779445965,0.41
"Average of linear quantiles",0.9,10000,2,271,NA,3.3903142982794,-4.92656051397893,-0.131662669810376,0.449999999999999
"Average of linear quantiles",0.9,10000,2,272,NA,2.12783769567591,-1.99161918077389,-0.486357856935842,0.395000000000001
"Average of linear quantiles",0.9,10000,2,273,NA,2.68720399597162,-1.53329585960188,-1.53220761293473,0.484999999999999
"Average of linear quantiles",0.9,10000,2,274,NA,2.658951722626,-2.59934271402913,-3.11398052022697,0.442
"Average of linear quantiles",0.9,10000,2,275,NA,3.32163745767767,-5.4305899065541,-1.66955145792631,0.387
"Average of linear quantiles",0.9,10000,2,276,NA,3.06597119912281,-1.58591466358139,-0.370731046839987,0.413
"Average of linear quantiles",0.9,10000,2,277,NA,3.38197921644401,4.9620657624572,-1.52908926186005,0.436
"Average of linear quantiles",0.9,10000,2,278,NA,3.63265856483489,-3.62594417525227,0.767993759255914,0.443000000000001
"Average of linear quantiles",0.9,10000,2,279,NA,2.15811038705384,-3.85899720117442,1.25763019473449,0.411999999999999
"Average of linear quantiles",0.9,10000,2,28,NA,3.64900328611554,-6.39957494560354,-0.568436207633331,0.434999999999999
"Average of linear quantiles",0.9,10000,2,280,NA,2.39436617661269,-3.89186504805861,0.408538706485624,0.394000000000002
"Average of linear quantiles",0.9,10000,2,281,NA,5.3053398025048,1.85957668656121,-1.90364961191377,0.41
"Average of linear quantiles",0.9,10000,2,282,NA,4.12870498605092,-1.26193943094731,-1.85356408179705,0.403
"Average of linear quantiles",0.9,10000,2,283,NA,2.9876931215022,0.630835858071245,-2.20027614790016,0.416
"Average of linear quantiles",0.9,10000,2,284,NA,2.15742221278125,-2.74372691567638,-2.87159437199757,0.372999999999999
"Average of linear quantiles",0.9,10000,2,285,NA,2.85074206484676,0.288144390239992,-1.83814214270829,0.451999999999998
"Average of linear quantiles",0.9,10000,2,286,NA,2.1904922849358,0.0858589572632003,0.806317183982931,0.473000000000003
"Average of linear quantiles",0.9,10000,2,287,NA,1.74614489702625,-0.816694805572598,-2.4085622286687,0.417000000000002
"Average of linear quantiles",0.9,10000,2,288,NA,4.52368354982783,-5.52056839592364,-2.37536702808796,0.398
"Average of linear quantiles",0.9,10000,2,289,NA,3.27469657983393,-0.317801339024718,-0.319418209421972,0.429
"Average of linear quantiles",0.9,10000,2,29,NA,3.04291730864178,-1.71268586748909,-0.789641120702812,0.428999999999998
"Average of linear quantiles",0.9,10000,2,290,NA,4.20789415475622,-1.08534528655714,2.14804239276206,0.437000000000001
"Average of linear quantiles",0.9,10000,2,291,NA,2.15044982073653,-4.19128181251269,1.76857187755496,0.429
"Average of linear quantiles",0.9,10000,2,292,NA,4.97187783211352,-2.78161629136512,-1.25391916281524,0.424000000000001
"Average of linear quantiles",0.9,10000,2,293,NA,2.91950966838943,-0.531340188614302,2.05004632723472,0.41
"Average of linear quantiles",0.9,10000,2,294,NA,2.92523598618668,-1.18027536006169,0.297202979768996,0.429
"Average of linear quantiles",0.9,10000,2,295,NA,3.50651763406943,-0.309838892622714,-6.49591723248032,0.428999999999998
"Average of linear quantiles",0.9,10000,2,296,NA,2.36208692273126,-3.95407248068147,-1.9196824930574,0.446999999999999
"Average of linear quantiles",0.9,10000,2,297,NA,4.37592136275609,-2.06608923726358,-2.11540259532578,0.414
"Average of linear quantiles",0.9,10000,2,298,NA,3.26792150883943,-3.58753265466895,-3.83431640854698,0.433
"Average of linear quantiles",0.9,10000,2,299,NA,2.48628756104644,0.779645322717326,0.222762082332732,0.404
"Average of linear quantiles",0.9,10000,2,3,NA,2.53133662100257,-4.50754781482939,1.16373240102982,0.423999999999999
"Average of linear quantiles",0.9,10000,2,30,NA,3.60497366426583,-2.79598248545049,-2.05428573063583,0.419
"Average of linear quantiles",0.9,10000,2,300,NA,1.33683759619036,-2.40165141937719,-0.916726292055771,0.398
"Average of linear quantiles",0.9,10000,2,301,NA,4.80814224440711,-5.46027050748928,-3.82226238128191,0.44
"Average of linear quantiles",0.9,10000,2,302,NA,1.81055401263858,-3.08112694548034,0.779973926917437,0.442
"Average of linear quantiles",0.9,10000,2,303,NA,2.75534281599834,-1.47758009364686,1.78551017214212,0.424999999999997
"Average of linear quantiles",0.9,10000,2,304,NA,3.031136391383,-0.362993682203684,-0.434985646792269,0.444000000000003
"Average of linear quantiles",0.9,10000,2,305,NA,4.47815745014904,-3.61713267216764,-2.09873108481543,0.406000000000002
"Average of linear quantiles",0.9,10000,2,306,NA,0.996699083033974,-1.21367456280195,-3.06226706699079,0.396000000000001
"Average of linear quantiles",0.9,10000,2,307,NA,2.95181372100896,-2.27241828811258,0.627512100485039,0.470000000000001
"Average of linear quantiles",0.9,10000,2,308,NA,4.12385990289853,-2.71121279074477,-2.46286580704393,0.443000000000001
"Average of linear quantiles",0.9,10000,2,309,NA,3.12817167244423,-4.16754694290743,-2.32979420359584,0.443999999999999
"Average of linear quantiles",0.9,10000,2,31,NA,4.48146095224733,0.828828457163991,-0.912794258628825,0.458999999999998
"Average of linear quantiles",0.9,10000,2,310,NA,2.59793004708409,-1.35324024925489,-3.12463771386664,0.44
"Average of linear quantiles",0.9,10000,2,311,NA,2.82196544694435,-1.16495821324555,2.26194312204103,0.456
"Average of linear quantiles",0.9,10000,2,312,NA,1.34619848166115,-1.51101937199271,-1.03312832846749,0.353
"Average of linear quantiles",0.9,10000,2,313,NA,3.46236115116664,-5.86626957396647,0.36984487095014,0.383000000000001
"Average of linear quantiles",0.9,10000,2,314,NA,2.44509066577554,3.0300731615936,-1.3358440871672,0.438000000000001
"Average of linear quantiles",0.9,10000,2,315,NA,4.02044612230452,-1.9771432437514,-2.76355718223712,0.373999999999999
"Average of linear quantiles",0.9,10000,2,316,NA,3.22833085397083,-2.43071609596562,-3.64181586643563,0.379
"Average of linear quantiles",0.9,10000,2,317,NA,5.35307230067912,-2.18659036544852,-1.80675950035961,0.391999999999999
