"Method","tau","n","p","seed","beta0","beta1","beta2"
"mRock",0.9,1000,2,12,1.20197730951609,-0.297978334931807,-2.2496648118972
"two_step_Neyman",0.9,1000,2,120,-1.65267594603953,-2.00601561105041,-1.23873247266594
"two_step_LS",0.9,1000,2,120,4.71393196506322,-4.89254717921921,-4.67494440827879
"mRock",0.9,1000,2,120,-0.463709485422649,0.00993038753333986,-5.28957137898475
"two_step_Neyman",0.9,1000,2,121,24.8727053524648,-24.0760573330686,0.336829468652837
"two_step_LS",0.9,1000,2,121,21.6211268649086,-14.2072402595683,-6.44351036386148
"mRock",0.9,1000,2,121,14.3327092586085,-8.10040428136192,-7.97962697783855
"two_step_Neyman",0.9,1000,2,122,9.19035189794279,0.577872204230914,-19.8307931139839
"two_step_LS",0.9,1000,2,122,3.44801565212183,0.0832330151642426,-13.5798021334516
"mRock",0.9,1000,2,122,0.744581716058063,-0.457151415169642,-11.087654445701
"two_step_Neyman",0.9,1000,2,123,-10.5298123684641,0.572080642636708,14.8183917148
"two_step_LS",0.9,1000,2,123,1.55162907021196,-10.1266876230014,13.3813327337134
"mRock",0.9,1000,2,123,-0.706228112585379,0.111453257040357,2.59242902580451
"two_step_Neyman",0.9,1000,2,124,3.28291982795827,-2.71402160757676,2.40484622808914
"two_step_LS",0.9,1000,2,124,-0.205982625598342,-2.10102877726054,5.25786974974388
"mRock",0.9,1000,2,124,-0.476223313720739,-0.0387585646939157,1.43368415381742
"two_step_Neyman",0.9,1000,2,125,6.22114151618011,-4.26649759445592,1.3535640713049
"two_step_LS",0.9,1000,2,125,9.01846012638745,-6.23793655741192,0.478249270711544
"mRock",0.9,1000,2,125,1.44793915459178,-0.798867244077564,0.53676833230584
"two_step_Neyman",0.9,1000,2,126,-14.8438223670311,5.03109859216461,12.0039155154054
"two_step_LS",0.9,1000,2,126,-7.1772954591666,-1.18200113255886,10.2623237134189
"mRock",0.9,1000,2,126,-0.226085040781713,-0.240305465013984,-1.3810021307365
"two_step_Neyman",0.9,1000,2,127,5.12010789819514,-2.62299331088773,-7.87307194176751
"two_step_LS",0.9,1000,2,127,6.64695827710303,-2.64774138026577,-9.35435002498745
"mRock",0.9,1000,2,127,0.114826788583932,-0.00721019517812316,-7.4416598830331
"two_step_Neyman",0.9,1000,2,128,-1.93511827789394,4.11664194611062,-6.65237707338407
"two_step_LS",0.9,1000,2,128,-1.94336837122382,1.02166707013025,-3.18683582494121
"mRock",0.9,1000,2,128,-0.841579433407823,0.601971761677583,-7.21097033477027
"two_step_Neyman",0.9,1000,2,129,19.3530289210617,-19.3405494132565,-3.00482063010438
"two_step_LS",0.9,1000,2,129,10.0292403805252,-7.56896637082171,-5.15042985255768
"mRock",0.9,1000,2,129,2.97981777879729,-2.07862823082306,-5.11881527804697
"two_step_Neyman",0.9,1000,2,13,-1.82002104378488,3.79742394959764,1.9066773264702
"two_step_LS",0.9,1000,2,13,-6.3190763760637,5.39452804958496,4.64872363617145
"mRock",0.9,1000,2,13,-1.09301077465519,1.02367435675776,2.74916601970367
"two_step_Neyman",0.9,1000,2,130,-1.40710641051088,-4.8991706928738,9.57757047528277
"two_step_LS",0.9,1000,2,130,2.57528080218528,-9.66857896263284,10.6942084937861
"mRock",0.9,1000,2,130,0.262299268541773,-0.419451223619329,0.61430594343372
"two_step_Neyman",0.9,1000,2,131,-1.44389882281865,0.824274020738648,-6.93599743279758
"two_step_LS",0.9,1000,2,131,-2.64100007182673,3.64017926318524,-8.36934826276125
"mRock",0.9,1000,2,131,-0.0678204771927557,0.0203247868954333,-8.98516963164737
"two_step_Neyman",0.9,1000,2,132,-1.57840098072501,2.09076553792724,-0.393393992498858
"two_step_LS",0.9,1000,2,132,-0.825247710594562,3.73634541955198,-2.6728056637312
"mRock",0.9,1000,2,132,0.497674317111512,-0.346745859165511,-1.88581787989907
"two_step_Neyman",0.9,1000,2,133,-1.96877238162258,-1.48308685831024,0.994438880384806
"two_step_LS",0.9,1000,2,133,1.27113587363023,-3.36771185691986,-0.199566813658834
"mRock",0.9,1000,2,133,-0.215547874137714,0.0940450678019205,-3.91327394557253
"two_step_Neyman",0.9,1000,2,134,18.7539031862103,-6.11503335131213,-22.3048457693906
"two_step_LS",0.9,1000,2,134,7.22539096313294,-3.5879733541139,-13.4906289779782
"mRock",0.9,1000,2,134,0.250888822642484,0.411310767370202,-11.4426205660512
"two_step_Neyman",0.9,1000,2,135,-6.8655228500365,1.69040530934873,16.1013637762205
"two_step_LS",0.9,1000,2,135,-1.27912322525344,0.111924443430196,11.8265523049922
"mRock",0.9,1000,2,135,-0.254194736042452,-0.11029635556917,8.68656422704065
"two_step_Neyman",0.9,1000,2,136,-1.68235584022789,-2.91512704756292,11.065586922829
"two_step_LS",0.9,1000,2,136,5.02882223077764,-10.5189505730318,11.8596212438769
"mRock",0.9,1000,2,136,-0.665120843206667,0.0458728953187433,2.60188894202446
"two_step_Neyman",0.9,1000,2,137,2.79104298004795,0.466311707525589,-9.11457281169707
"two_step_LS",0.9,1000,2,137,1.83219889521844,1.44784730118722,-9.36688169808507
"mRock",0.9,1000,2,137,-0.125203326664826,0.285401617851152,-6.62042730179563
"two_step_Neyman",0.9,1000,2,138,-0.603877819502388,-0.0340346535045306,-1.59458861208213
"two_step_LS",0.9,1000,2,138,1.19413972721648,-1.35772674126271,-1.44790023138073
"mRock",0.9,1000,2,138,-0.132060062985206,-0.0407675474074209,-3.48356448580205
"two_step_Neyman",0.9,1000,2,139,3.0435676160342,-3.72826845980225,5.3779204443539
"two_step_LS",0.9,1000,2,139,9.9302764531376,-8.08542157511448,2.89662301189573
"mRock",0.9,1000,2,139,0.627452280989699,-0.584712748858175,3.09242212005141
"two_step_Neyman",0.9,1000,2,14,-6.9424169455711,4.97612123506716,10.8458957214066
"two_step_LS",0.9,1000,2,14,-1.43365985261527,-1.52669827915461,11.614542696787
"mRock",0.9,1000,2,14,-0.495973760926121,0.687207394036341,5.54253386013406
"two_step_Neyman",0.9,1000,2,140,-1.08941347046711,-8.19157703720235,16.4392296049224
"two_step_LS",0.9,1000,2,140,6.47581485640434,-7.80939537173335,8.37336400596662
"mRock",0.9,1000,2,140,0.678458203604803,-0.778938040351556,4.22151607692133
"two_step_Neyman",0.9,1000,2,141,-16.852243587602,10.7838038726196,21.9843614074788
"two_step_LS",0.9,1000,2,141,-3.10721966583418,3.50568574685673,15.3473045166349
