"Method","tau","n","p","seed","beta0","beta1","beta2"
"two_step_Neyman",0.9,1000,2,365,3.3502488323957,7.88077312239867,-5.783254360713
"two_step_LS",0.9,1000,2,365,0.336114175705228,5.79469193522691,-0.610148154870231
"mRock",0.9,1000,2,365,-0.674699688022743,1.54801538353796,3.71573984104846
"two_step_Neyman",0.9,1000,2,366,-2.83098354831635,3.18541737331219,-1.7091145947583
"two_step_LS",0.9,1000,2,366,-3.02498806692027,1.44181633135903,0.463105618189644
"mRock",0.9,1000,2,366,0.0112471946967769,-0.259959506242205,-2.76329183307026
"two_step_Neyman",0.9,1000,2,367,-6.68177337307696,7.00561145172485,-4.06527369172133
"two_step_LS",0.9,1000,2,367,-6.20048982012281,8.68377451362161,-6.21141376767898
"mRock",0.9,1000,2,367,-1.08640574291951,0.894369467683239,-5.21090980994113
"two_step_Neyman",0.9,1000,2,368,0.707002220884674,-6.34712179215143,9.21204388400662
"two_step_LS",0.9,1000,2,368,6.24869736012192,-5.23449341518966,2.89786775683787
"mRock",0.9,1000,2,368,0.478658268569315,-0.810397760839745,2.10814252891787
"two_step_Neyman",0.9,1000,2,369,9.55244232814724,-7.02221521913231,-1.42774617042241
"two_step_LS",0.9,1000,2,369,-5.45056008934038,-2.68902566597261,9.15768854328068
"mRock",0.9,1000,2,369,0.000306789472913849,0.0341595595649036,-0.762608406765182
"two_step_Neyman",0.9,1000,2,37,2.70703597229977,1.96303832689765,-4.01936425742342
"two_step_LS",0.9,1000,2,37,1.00627607983709,3.72351515206447,-4.0701108916676
"mRock",0.9,1000,2,37,-0.132667634194094,0.458088711626635,-2.432542615629
"two_step_Neyman",0.9,1000,2,370,7.01647322973413,-2.86155975971243,-6.29807105224663
"two_step_LS",0.9,1000,2,370,-1.27418604686563,0.100490921160955,-1.06568785607818
"mRock",0.9,1000,2,370,0.186749698167748,-0.396921346111126,-3.49314688082674
"two_step_Neyman",0.9,1000,2,371,-20.4786681444252,9.98705752195406,21.2252715449723
"two_step_LS",0.9,1000,2,371,-6.86228862425799,4.24680781132167,13.3455360887893
"mRock",0.9,1000,2,371,0.194114089804611,-0.342399542214864,9.46357326500066
"two_step_Neyman",0.9,1000,2,372,5.2944250841758,1.92945051652316,-8.07914916663248
"two_step_LS",0.9,1000,2,372,5.32584708001009,-0.733741346873535,-5.49892552149549
"mRock",0.9,1000,2,372,-0.209958669299394,0.488123968997816,-2.94203533862142
"two_step_Neyman",0.9,1000,2,373,-1.53038855014732,3.17061323735782,-5.98886123723405
"two_step_LS",0.9,1000,2,373,-1.80218415860776,4.51376234524471,-6.98090856982513
"mRock",0.9,1000,2,373,-0.822446363891836,0.60683254765721,-6.28208736649373
"two_step_Neyman",0.9,1000,2,374,-6.35555308227616,-2.47158393309163,16.3437943228119
"two_step_LS",0.9,1000,2,374,-10.4830616935055,2.92898630237886,14.9809485371501
"mRock",0.9,1000,2,374,-0.739020120197724,0.07336605749845,6.12417072937954
"two_step_Neyman",0.9,1000,2,375,-3.84574591391661,-5.09307380220525,2.304108614797
"two_step_LS",0.9,1000,2,375,1.97152730693306,-2.36665502404206,-6.31712005000625
"mRock",0.9,1000,2,375,-0.51489796584221,0.371583971287242,-8.06774645998263
"two_step_Neyman",0.9,1000,2,376,13.1583225496845,-4.00662090543501,-11.8961682878074
"two_step_LS",0.9,1000,2,376,7.61164481461368,-0.526600305467504,-9.96546262771471
"mRock",0.9,1000,2,376,0.889328467119699,-0.617798600493634,-5.212567262722
"two_step_Neyman",0.9,1000,2,377,4.75340372629701,0.626777349520273,-4.29199237996134
"two_step_LS",0.9,1000,2,377,8.89054552258477,-3.97600659045786,-3.71175467701758
"mRock",0.9,1000,2,377,0.526832765706027,-0.008631052443556,-1.48891223206331
"two_step_Neyman",0.9,1000,2,378,4.23932321776747,0.330283841705971,-12.8986262048053
"two_step_LS",0.9,1000,2,378,5.80259171768463,-4.44827902691253,-9.81700123206642
"mRock",0.9,1000,2,378,0.2044262577729,0.112172469041609,-10.6936747557503
"two_step_Neyman",0.9,1000,2,379,5.91254129925646,-3.06503728965608,-8.54045628140867
"two_step_LS",0.9,1000,2,379,6.4870852510787,-2.94332327072366,-9.45400231437659
"mRock",0.9,1000,2,379,-0.0163201605152512,-0.216257515472486,-6.84512174261484
"two_step_Neyman",0.9,1000,2,38,1.70190514733972,-1.03937964561289,-6.44095432983376
"two_step_LS",0.9,1000,2,38,3.5751639724429,-1.92582522962633,-7.37623270626882
"mRock",0.9,1000,2,38,-0.305109758521327,-0.0322337818124168,-6.9453634848151
"two_step_Neyman",0.9,1000,2,380,-6.02973282188052,3.99920405636932,0.174677918148006
"two_step_LS",0.9,1000,2,380,2.36155726165083,-0.815409455298713,-3.47859023339016
"mRock",0.9,1000,2,380,-0.759324039345019,0.100171050494188,-3.70642361500023
"two_step_Neyman",0.9,1000,2,381,-0.0997175694475878,-3.37121579911762,6.53525638029802
"two_step_LS",0.9,1000,2,381,-14.4251253045789,5.68489855426376,12.0019281153219
"mRock",0.9,1000,2,381,0.61883219077272,-0.919313869963553,1.07043713947471
"two_step_Neyman",0.9,1000,2,382,1.42370214603909,0.328513659838326,4.01638785247033
"two_step_LS",0.9,1000,2,382,5.08759161373724,-3.28402220021407,3.74551385232745
"mRock",0.9,1000,2,382,1.04735210059307,-0.812263010955456,3.87358999992375
"two_step_Neyman",0.9,1000,2,383,5.66173638304113,-7.43030945478948,-3.95312630103336
"two_step_LS",0.9,1000,2,383,3.81915147822267,-4.23193753624916,-5.44081663792549
"mRock",0.9,1000,2,383,-0.419281468136025,0.00470399519326792,-6.56911888833102
"two_step_Neyman",0.9,1000,2,384,-3.65427281085619,3.56827837751196,-8.2002078530347
"two_step_LS",0.9,1000,2,384,1.8336206719239,-1.06889643551158,-9.26453440881528
"mRock",0.9,1000,2,384,0.0597707733674007,-0.232116415842492,-9.33750474524443
"two_step_Neyman",0.9,1000,2,385,-1.57477248842762,6.66901518058291,-5.81890002443531
"two_step_LS",0.9,1000,2,385,-0.0503091141313874,3.07195050040096,-3.97677397081
"mRock",0.9,1000,2,385,-1.09222136854982,1.50675960731998,-3.02520995473562
"two_step_Neyman",0.9,1000,2,386,-16.3930159463879,9.60211217557563,3.58293562225479
"two_step_LS",0.9,1000,2,386,-10.0237923497041,5.66040726655152,0.660723380033389
"mRock",0.9,1000,2,386,-0.542139105113793,0.152139932056617,-5.20437268779597
"two_step_Neyman",0.9,1000,2,387,2.82100228276509,-3.42243597087312,-0.854833904216179
"two_step_LS",0.9,1000,2,387,6.73887145097273,-5.61860909462718,-2.73299744164188
"mRock",0.9,1000,2,387,-0.0455640598259954,-0.231777522705855,-3.83929715254143
"two_step_Neyman",0.9,1000,2,388,1.36771618293093,7.25008162829986,-10.4254073942971
"two_step_LS",0.9,1000,2,388,1.77336690645987,5.55956658359045,-9.03565000378826
"mRock",0.9,1000,2,388,-0.125288558375822,-0.214009196116935,-3.34810749389436
"two_step_Neyman",0.9,1000,2,389,6.35626551343339,-7.43553928929334,-0.800631597175794
"two_step_LS",0.9,1000,2,389,8.43570307203929,-5.21785981002213,-5.05306965120964
"mRock",0.9,1000,2,389,1.60099122998824,-1.31452610123377,-4.09697423584599
"two_step_Neyman",0.9,1000,2,39,0.467473763018453,2.03441772675847,-1.6479015470167
"two_step_LS",0.9,1000,2,39,2.82874970350824,-3.24567142603443,1.23922409539864
"mRock",0.9,1000,2,39,0.247829123150806,-0.319224285528955,-1.44615556050002
"two_step_Neyman",0.9,1000,2,390,-13.9743363937678,7.16955038591127,9.55441808247107
"two_step_LS",0.9,1000,2,390,-12.5916752966313,2.79940570712673,12.8003789058094
"mRock",0.9,1000,2,390,-0.800378173724512,0.681690584029161,0.610286510890589
"two_step_Neyman",0.9,1000,2,391,-8.80344315992937,-1.45965045336034,4.5625333082321
"two_step_LS",0.9,1000,2,391,-0.908753586231319,-12.3648779401024,7.67169342362284
"mRock",0.9,1000,2,391,-0.91333557415159,0.0160953202539402,-8.2080009334739
"two_step_Neyman",0.9,1000,2,392,-2.84541480371077,0.1908724867076,2.20545958657902
"two_step_LS",0.9,1000,2,392,-5.42662783936976,6.75758216216461,-1.6671948015852
"mRock",0.9,1000,2,392,-0.858087323522783,0.514559727164721,-1.71542785895686
"two_step_Neyman",0.9,1000,2,393,7.24095107308221,-7.60456745028184,-9.67904460428826
"two_step_LS",0.9,1000,2,393,7.47882125672627,-5.23771801006926,-12.4229231888825
"mRock",0.9,1000,2,393,0.929178496083637,-0.947274432836247,-11.271322200337
"two_step_Neyman",0.9,1000,2,394,7.12072460820675,-1.29233836670668,-6.44050412002065
"two_step_LS",0.9,1000,2,394,4.38121460505172,0.320922415276084,-5.34341586580042
"mRock",0.9,1000,2,394,0.36582453334726,-0.183622569418572,-2.77333837648067
"two_step_Neyman",0.9,1000,2,395,-8.24340805509465,11.3379070987159,-10.8018929965155
"two_step_LS",0.9,1000,2,395,-4.81724995576,8.04299367706225,-10.7461243229975
"mRock",0.9,1000,2,395,-0.903541496317869,1.3055711572147,-9.77336314675415
"two_step_Neyman",0.9,1000,2,396,1.61139625178005,-2.6354824181973,5.2589547005895
"two_step_LS",0.9,1000,2,396,4.92146145978006,-1.94985290938983,1.33721512034676
"mRock",0.9,1000,2,396,-0.982807319149318,0.238122313808651,2.98865864699387
"two_step_Neyman",0.9,1000,2,397,4.6339411173954,-2.55609728934406,3.91502975799291
"two_step_LS",0.9,1000,2,397,9.62363749001993,-11.213019057972,7.59911739956519
"mRock",0.9,1000,2,397,0.423005872487044,-0.174681460165588,2.59542193404013
"two_step_Neyman",0.9,1000,2,398,1.54976552815867,2.47820571763593,1.49769413533251
"two_step_LS",0.9,1000,2,398,-1.59543697632741,2.01184898351172,4.93739496663953
"mRock",0.9,1000,2,398,-1.18862138563645,1.35917366823601,4.1654545289154
"two_step_Neyman",0.9,1000,2,399,14.8744049989188,-4.8989746476291,-9.02568231266213
"two_step_LS",0.9,1000,2,399,6.56438238164194,-2.28914166225318,-3.44703528202389
"mRock",0.9,1000,2,399,1.22647234806775,-0.796782676520267,-1.47587643072255
"two_step_Neyman",0.9,1000,2,4,-9.08048277076709,7.72237154975899,-3.20138376936427
"two_step_LS",0.9,1000,2,4,-5.35195615837795,5.18759689151902,-4.47257329137534
"mRock",0.9,1000,2,4,-0.756086252839713,1.09265035951818,-7.08736507743906
"two_step_Neyman",0.9,1000,2,40,-10.7787671110697,4.57337147735628,5.81637389139075
"two_step_LS",0.9,1000,2,40,-7.72854756449957,0.990424455454944,6.50780329272345
"mRock",0.9,1000,2,40,-0.236321169173001,-0.0811110865899418,-2.80399484526652
"two_step_Neyman",0.9,1000,2,400,-0.340437164313823,4.62299508224785,-1.40942034926658
"two_step_LS",0.9,1000,2,400,1.35717467690763,4.37816155002519,-3.00852602805907
"mRock",0.9,1000,2,400,-1.10291643125513,0.901382536036828,1.36837406153177
"two_step_Neyman",0.9,1000,2,401,7.84424547373593,-4.06206478338826,-4.60635448244339
"two_step_LS",0.9,1000,2,401,6.15234736181128,-6.56182506611564,-0.533211487817638
"mRock",0.9,1000,2,401,1.4061160863215,-1.17633543855505,-2.35113210633962
"two_step_Neyman",0.9,1000,2,402,5.48350411027571,1.29028811068169,-12.228311242714
"two_step_LS",0.9,1000,2,402,-0.833877092708694,1.2446768317542,-5.78556949443202
"mRock",0.9,1000,2,402,-0.739453364203699,0.864859058993579,-7.00723729611501
"two_step_Neyman",0.9,1000,2,403,0.982940466984034,-2.07987640275157,5.00692621670402
"two_step_LS",0.9,1000,2,403,7.50019989051712,-2.98351546799399,-0.492164458456159
"mRock",0.9,1000,2,403,-0.178037582134495,0.231078265620772,1.38894905562209
"two_step_Neyman",0.9,1000,2,404,6.61354938051688,-5.2741004933467,-2.09702297663804
"two_step_LS",0.9,1000,2,404,2.62591917490339,-1.39247095419523,-1.84574264552947
"mRock",0.9,1000,2,404,0.0970414764859724,-0.341239028638068,-1.19239296921691
"two_step_Neyman",0.9,1000,2,405,7.91201046845588,1.39241125216167,-20.4336175170272
"two_step_LS",0.9,1000,2,405,4.57599805926744,2.21855067015238,-17.8152902454703
"mRock",0.9,1000,2,405,0.267628139965386,0.15535491530117,-13.5292582077305
"two_step_Neyman",0.9,1000,2,406,-1.12709810590166,7.70931569342937,-7.71840984886279
"two_step_LS",0.9,1000,2,406,-3.62696699104156,5.63249141834537,-3.152853614455
"mRock",0.9,1000,2,406,-0.795037024323935,0.980653537127245,-3.19631557696863
"two_step_Neyman",0.9,1000,2,407,-9.67860280659037,14.6110888888778,8.63791152297934
"two_step_LS",0.9,1000,2,407,-4.02088835325905,8.94274409125242,8.80427824653937
"mRock",0.9,1000,2,407,-1.38105417733897,2.94803684658903,10.7433976822131
"two_step_Neyman",0.9,1000,2,408,10.7297949994927,-0.562055682375152,-17.8520223394004
"two_step_LS",0.9,1000,2,408,10.2516533002392,-0.995350115978249,-17.101561605454
"mRock",0.9,1000,2,408,0.418399660708388,0.52669463780635,-10.8806703663581
"two_step_Neyman",0.9,1000,2,409,2.2970716825617,1.15310750025947,-8.43727965148594
"two_step_LS",0.9,1000,2,409,0.591883586369211,2.40880427455054,-7.77488769196422
"mRock",0.9,1000,2,409,0.664392354447996,-0.195617865183402,-7.14184039217744
"two_step_Neyman",0.9,1000,2,41,-1.48520691725495,-4.91789172093124,13.5457529104491
"two_step_LS",0.9,1000,2,41,-3.38418789100946,-0.0824825706499435,10.7163714063813
"mRock",0.9,1000,2,41,-0.0281104362024696,-0.19246686883404,4.31246223112713
"two_step_Neyman",0.9,1000,2,410,17.8889857088763,-14.9931792413457,-6.5106201961927
"two_step_LS",0.9,1000,2,410,12.1774268100175,-10.6375954800829,-5.08912180797931
"mRock",0.9,1000,2,410,5.0102290511823,-3.13728707902855,-7.64646716557833
"two_step_Neyman",0.9,1000,2,411,1.17152998380189,-3.01364486187634,-0.260220974733059
"two_step_LS",0.9,1000,2,411,-2.23787675772452,-1.91419693779093,2.12074020213194
"mRock",0.9,1000,2,411,1.07421744591329,-0.780981690347788,-2.92652815486414
"two_step_Neyman",0.9,1000,2,412,-2.21770571620696,4.27300301842474,-2.47841358489143
"two_step_LS",0.9,1000,2,412,-0.0245780927311721,1.58467761753419,-2.03598874473855
"mRock",0.9,1000,2,412,0.263185069503987,-0.168090527146709,-2.71065645829806
"two_step_Neyman",0.9,1000,2,413,21.0691733196051,-21.8466483526308,0.49334576260209
"two_step_LS",0.9,1000,2,413,12.8501166965574,-12.3916854064049,-1.10661934897253
"mRock",0.9,1000,2,413,3.56401258644634,-2.83812073958338,-4.5894841368581
"two_step_Neyman",0.9,1000,2,414,-4.0533816623044,2.94777712698812,5.22283783678023
"two_step_LS",0.9,1000,2,414,3.87858797451198,-3.82424904492759,4.22030036728748
"mRock",0.9,1000,2,414,-0.283678313229588,0.31235416839072,2.79144654787279
"two_step_Neyman",0.9,1000,2,415,9.75383825560658,-8.05926205587446,-3.68217632520174
"two_step_LS",0.9,1000,2,415,-7.70412670371211,6.04382088114931,0.0382773940586816
"mRock",0.9,1000,2,415,0.315840284698025,-0.370028995453163,-3.47870478053163
"two_step_Neyman",0.9,1000,2,416,-13.930064770253,-1.16577455713073,15.5275067942544
"two_step_LS",0.9,1000,2,416,-9.20369418001324,2.37408089592102,6.91428118994551
"mRock",0.9,1000,2,416,-0.407437532469915,0.0838787681356883,-0.9938419236329
"two_step_Neyman",0.9,1000,2,417,2.76397696545476,6.37924943910687,-16.7550793199815
"two_step_LS",0.9,1000,2,417,6.24678425822116,1.14570679703229,-15.0215693436674
"mRock",0.9,1000,2,417,-0.228503977960353,0.822418869636426,-10.6093532116449
"two_step_Neyman",0.9,1000,2,418,3.99357823653249,0.831972281384683,6.58471242802077
"two_step_LS",0.9,1000,2,418,5.22773831771483,1.70800871596736,4.14697973285203
"mRock",0.9,1000,2,418,0.400019757979917,-0.306456649327779,9.1042552041515
"two_step_Neyman",0.9,1000,2,419,-10.355191502066,10.7355030177379,-4.17846677187458
"two_step_LS",0.9,1000,2,419,-5.33940364264331,8.24472577912202,-6.60444114527111
"mRock",0.9,1000,2,419,-0.790790559927181,1.2447497840044,-5.61743451600994
"two_step_Neyman",0.9,1000,2,42,-2.76078895569378,5.11481938056856,-2.6000233238842
"two_step_LS",0.9,1000,2,42,-5.1300810236904,5.90570379593682,-0.681751392105483
"mRock",0.9,1000,2,42,-0.791298611873488,0.833445946282529,-2.65163803817268
"two_step_Neyman",0.9,1000,2,420,2.34463015258833,5.53626450407221,-5.42897769474395
"two_step_LS",0.9,1000,2,420,3.19262967459786,2.44750700290945,-3.33329112865151
"mRock",0.9,1000,2,420,0.120963377868803,0.577873480796363,-0.741954262965152
"two_step_Neyman",0.9,1000,2,421,-23.010402419272,10.932880501943,16.6193035497915
"two_step_LS",0.9,1000,2,421,-15.2474019897675,7.50809689662684,12.5896959497986
"mRock",0.9,1000,2,421,-1.06639740892062,0.44189973187916,3.32998940592879
"two_step_Neyman",0.9,1000,2,422,6.84589722769003,-3.33291484607834,-6.26631795098213
"two_step_LS",0.9,1000,2,422,5.89398726865104,-4.83978330745856,-3.90453756645702
"mRock",0.9,1000,2,422,1.69594822538786,-0.822464058996311,-5.02382499276047
"two_step_Neyman",0.9,1000,2,423,-18.488189251027,14.8195101950005,9.97557134473612
"two_step_LS",0.9,1000,2,423,-7.26350815182353,4.65899327688932,8.6088793278645
"mRock",0.9,1000,2,423,-0.817666853664123,0.242629403675557,4.0680878058139
"two_step_Neyman",0.9,1000,2,424,-3.86145602732537,9.68073675098895,-13.6245517074474
"two_step_LS",0.9,1000,2,424,-7.39559346202992,9.24284502292404,-9.5107216168809
"mRock",0.9,1000,2,424,-0.25690724827203,0.78540060458961,-10.4035681899265
"two_step_Neyman",0.9,1000,2,425,2.56483899871469,2.85663827742988,-14.5722246118496
"two_step_LS",0.9,1000,2,425,1.84513406653064,2.29325066198486,-13.2576445710561
"mRock",0.9,1000,2,425,-0.0565436544249156,0.164842246473823,-11.7789725844839
"two_step_Neyman",0.9,1000,2,426,-3.56742431002877,0.307978234086355,12.7158178786587
"two_step_LS",0.9,1000,2,426,-3.17347434570582,-0.75805852722676,13.248961456759
"mRock",0.9,1000,2,426,-0.713228239373621,0.458384924201912,8.20426948719195
"two_step_Neyman",0.9,1000,2,427,-22.762866600181,14.833684433634,20.205833144283
"two_step_LS",0.9,1000,2,427,-1.24273577734022,-0.651383901098381,13.7140724404128
"mRock",0.9,1000,2,427,-0.771473756068618,0.706279358660572,9.09697560110875
"two_step_Neyman",0.9,1000,2,428,-2.74893693052411,-1.3160163079707,6.05669558277916
"two_step_LS",0.9,1000,2,428,-4.57046660396934,-1.3198429245061,7.84641063634798
"mRock",0.9,1000,2,428,-0.926407685157757,0.673523778988104,-0.733174182811226
"two_step_Neyman",0.9,1000,2,429,-6.92815079189306,4.21670398967222,6.70106861917351
"two_step_LS",0.9,1000,2,429,-1.2985196657672,3.70321732141796,1.39585521235537
"mRock",0.9,1000,2,429,-0.0048279576208845,0.25392474887485,2.12874744053792
"two_step_Neyman",0.9,1000,2,43,11.9469631577906,-14.9426338668789,1.84244396900617
"two_step_LS",0.9,1000,2,43,7.16517484074452,-10.5817038092708,2.40738884852357
"mRock",0.9,1000,2,43,1.40796443204482,-1.45429716141347,-3.08246429555993
"two_step_Neyman",0.9,1000,2,430,11.6145713161411,-7.67886983327792,-8.4663866049593
"two_step_LS",0.9,1000,2,430,9.05768234103224,-4.63050935678534,-9.09237062865552
"mRock",0.9,1000,2,430,2.02318153941331,-1.50636534353446,-6.84949153871116
"two_step_Neyman",0.9,1000,2,431,-1.66571742966044,0.921295178897843,-6.0191186878132
"two_step_LS",0.9,1000,2,431,1.4717326123963,-2.53016141824515,-5.88072913854965
"mRock",0.9,1000,2,431,-0.0903474596564724,0.150787758040343,-8.35807963567387
"two_step_Neyman",0.9,1000,2,432,-18.414335336927,8.54344761074382,18.0801270881979
"two_step_LS",0.9,1000,2,432,-19.6079214207794,13.4778374615177,14.5108434675244
"mRock",0.9,1000,2,432,-0.562235910734588,-0.122439786611858,4.56852904655376
"two_step_Neyman",0.9,1000,2,433,0.627022435074032,-6.42801223175226,8.54258531059862
"two_step_LS",0.9,1000,2,433,3.06674295388613,-10.316736059695,10.0245089608836
"mRock",0.9,1000,2,433,-0.20706158912021,-0.18229776914004,0.0265522138997341
"two_step_Neyman",0.9,1000,2,434,-4.27314684300717,6.44582589659258,-2.14817180546274
"two_step_LS",0.9,1000,2,434,-2.10470409842619,5.03811766932327,-2.90165057252835
"mRock",0.9,1000,2,434,-0.596217735106395,0.542279974026889,-1.45337760249052
"two_step_Neyman",0.9,1000,2,435,-8.89999364260527,8.54481241946996,-11.3196310316711
"two_step_LS",0.9,1000,2,435,-1.62097488982498,3.07964031882584,-13.275741866809
"mRock",0.9,1000,2,435,-0.690941950314137,0.93086650655443,-13.9606882624879
"two_step_Neyman",0.9,1000,2,436,-9.10655587774911,7.26764070483025,1.3911921138497
"two_step_LS",0.9,1000,2,436,-10.2415098637627,2.96304615237669,6.69513687343772
"mRock",0.9,1000,2,436,-0.463409147212447,0.416793864920086,-3.78817713127336
"two_step_Neyman",0.9,1000,2,437,6.55489029571573,-2.94035323702499,-5.73475845083613
"two_step_LS",0.9,1000,2,437,0.269520696972114,-0.0195536689623004,-2.32656108603442
"mRock",0.9,1000,2,437,-0.92919187344984,1.00307329336989,-3.98363805851125
"two_step_Neyman",0.9,1000,2,438,-13.0530106008752,14.3541186540373,-2.16232022577756
"two_step_LS",0.9,1000,2,438,-0.540466995119977,5.62338655891404,-5.90356816341406
"mRock",0.9,1000,2,438,-1.44139767325015,2.57227419844038,-3.60534927002662
"two_step_Neyman",0.9,1000,2,439,6.34633337173555,-9.16585216896146,6.84626727583095
"two_step_LS",0.9,1000,2,439,4.97993184960297,-2.05339647271946,1.25762600303624
"mRock",0.9,1000,2,439,0.91802392111566,-0.680909945661008,2.97671538377686
"two_step_Neyman",0.9,1000,2,44,11.0276974991012,-5.90326820277292,-1.63733944872479
"two_step_LS",0.9,1000,2,44,13.5060581647571,-5.66609449274882,-4.32622570075594
"mRock",0.9,1000,2,44,1.38531669487166,-1.17091206924659,0.458075603083046
"two_step_Neyman",0.9,1000,2,440,-14.3883900045591,-5.2964747730497,29.4059810336984
"two_step_LS",0.9,1000,2,440,-11.0132058412357,-0.0885364097952386,20.8045275067028
"mRock",0.9,1000,2,440,-1.06619890004194,0.0526366938605691,6.81055347454283
"two_step_Neyman",0.9,1000,2,441,5.10839249373873,-7.26123334307604,5.00792668437252
"two_step_LS",0.9,1000,2,441,3.28834559751576,-5.82716990294272,5.13744050586897
"mRock",0.9,1000,2,441,0.623469309573236,-0.720256035890907,1.51344200426176
"two_step_Neyman",0.9,1000,2,442,5.0541318742479,-0.432498559629825,-10.562377635811
"two_step_LS",0.9,1000,2,442,0.75049950965106,0.201481515662638,-6.77304278262221
"mRock",0.9,1000,2,442,0.0935100287852588,-0.241103464862215,-7.14028111856636
"two_step_Neyman",0.9,1000,2,443,-2.64585202768583,-2.43966694568527,6.24944377953018
"two_step_LS",0.9,1000,2,443,5.41542780767661,-6.23325235967844,1.63732719801351
"mRock",0.9,1000,2,443,0.450583573377314,-0.792206744743618,0.0338259121434135
"two_step_Neyman",0.9,1000,2,444,5.84159437956036,-7.16113569052099,7.42149973476637
"two_step_LS",0.9,1000,2,444,-1.51943176150315,-0.943708882961506,8.56053760388004
"mRock",0.9,1000,2,444,-0.175800609601,-0.273441254585401,4.61392542052437
"two_step_Neyman",0.9,1000,2,445,-26.2556880308948,16.5755467269177,13.651517831748
"two_step_LS",0.9,1000,2,445,-5.23253850367262,4.82731122356093,3.81330090825972
"mRock",0.9,1000,2,445,-0.916499266080566,0.683135160551365,1.59008594863107
"two_step_Neyman",0.9,1000,2,446,2.60802636163776,-7.691387681875,4.74654879646872
"two_step_LS",0.9,1000,2,446,2.26715753848074,-6.12077174634544,3.58284302663836
"mRock",0.9,1000,2,446,1.00141784409442,-1.19684233984429,-2.22847308148425
"two_step_Neyman",0.9,1000,2,447,1.61063270469014,3.69548705481097,-10.71101744016
"two_step_LS",0.9,1000,2,447,2.62036851199505,2.5744722270096,-10.6312818840927
"mRock",0.9,1000,2,447,-0.306936066705918,0.815056532943962,-7.15919632761025
"two_step_Neyman",0.9,1000,2,448,5.40151294262219,-0.682006698584977,-6.05641648237838
"two_step_LS",0.9,1000,2,448,-1.93650186672347,2.12018302950961,-1.52741404889971
"mRock",0.9,1000,2,448,-0.272107877486595,0.685040853961704,-3.17378341134706
"two_step_Neyman",0.9,1000,2,449,9.97413380518097,-2.85756604584759,-0.454509055093723
"two_step_LS",0.9,1000,2,449,4.29095478267126,-1.99603586127265,4.60048296082384
"mRock",0.9,1000,2,449,0.151596442771561,-0.368270088264148,6.05529230619558
"two_step_Neyman",0.9,1000,2,45,-0.546390070286882,4.59842212315583,-12.1038488765075
"two_step_LS",0.9,1000,2,45,-2.62949680160265,4.33887677780488,-9.46618239952845
"mRock",0.9,1000,2,45,0.157286957581077,0.345287185821795,-10.3595908621945
"two_step_Neyman",0.9,1000,2,450,7.96595539111711,-7.31309654517171,-5.95505080305962
"two_step_LS",0.9,1000,2,450,5.03487456202213,-4.04240352783383,-6.15948464388906
"mRock",0.9,1000,2,450,1.87188565173396,-1.75912150491297,-6.69618691191314
"two_step_Neyman",0.9,1000,2,451,10.199037503735,-7.27401767252013,-0.521892872225848
"two_step_LS",0.9,1000,2,451,9.08165971907191,-8.6039666207093,1.90339339016695
"mRock",0.9,1000,2,451,0.389051745674889,-0.4341961482778,0.42844867127279
"two_step_Neyman",0.9,1000,2,452,-5.30759410070136,1.85459446633643,-0.0466949716789884
"two_step_LS",0.9,1000,2,452,-1.29475395130186,0.545131902021998,-2.71251870519848
"mRock",0.9,1000,2,452,-0.0779588575304277,0.0200165305905355,-6.59943718532013
"two_step_Neyman",0.9,1000,2,453,-1.00356678920374,-3.66979690011153,11.1316239640251
"two_step_LS",0.9,1000,2,453,-4.01433787001835,0.398869692095043,10.3261564617788
"mRock",0.9,1000,2,453,0.211849220123955,-0.392324414586452,3.59070438099448
"two_step_Neyman",0.9,1000,2,454,2.90594329195366,-1.08086026093306,-7.31829096421663
"two_step_LS",0.9,1000,2,454,3.95108859966983,-1.08095302748056,-8.1585715235003
"mRock",0.9,1000,2,454,-0.424651116932326,-0.219351389191198,-6.05670925266469
"two_step_Neyman",0.9,1000,2,455,14.1409876483286,-5.84209351525823,-8.35049736636124
"two_step_LS",0.9,1000,2,455,5.5456000916042,-3.61892831157318,-2.06043976519942
"mRock",0.9,1000,2,455,1.03329065955398,-1.00423494656065,-1.03998641082799
"two_step_Neyman",0.9,1000,2,456,6.73562097398969,-0.282626061564113,-9.24257515468284
"two_step_LS",0.9,1000,2,456,8.79782180479382,-5.27735243199345,-6.24060051389483
"mRock",0.9,1000,2,456,1.38455258851071,-0.653388214380207,-4.87611317618298
"two_step_Neyman",0.9,1000,2,457,7.8861651418839,-13.391639698625,17.7801093376411
"two_step_LS",0.9,1000,2,457,6.91245699066197,-7.54512280755567,13.4173268435396
"mRock",0.9,1000,2,457,0.680043782696304,-0.572956875154824,10.4116740062862
"two_step_Neyman",0.9,1000,2,458,21.8456706493952,-9.58010649735016,-8.38850333773414
"two_step_LS",0.9,1000,2,458,7.92217609454707,0.447381889510672,-4.27985620809885
"mRock",0.9,1000,2,458,2.60482072140675,-1.4159716068439,0.55312800348878
"two_step_Neyman",0.9,1000,2,459,-1.09242399504213,-1.51986221254136,-0.852210288203253
"two_step_LS",0.9,1000,2,459,3.18493067708282,-1.15607751178112,-5.62298002534573
"mRock",0.9,1000,2,459,-0.30745848042284,0.0118705267001844,-4.70313241908813
