"intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
2096.99999999997,-226.999999999984,-206.999999999819,-44.999999999954,653.000000000037,362.999999999979,-35.0000000000408,-411.999999999864,-210.000000000028,-54.9999999999857,-63.0000000000176,1.99678653925423e-12,-70.0000000000302,49.9999999999121,-4.67272558809955e-11
2096.00000000002,-227.000000000024,-192.000000000017,-38.0000000000127,653.999999999996,369.999999999994,-31.0000000000077,-414.999999999986,-202.00000000003,-27.0000000000362,-63.9999999999987,1.48205513294717e-11,-77.9999999999879,49.9999999999772,-2.05054264975681e-11
2093,-230.000000000005,-203.666666666693,-41.6666666666798,660.000000000008,371.666666666674,-38.0000000000044,-421.33333333333,-201.333333333328,-49.666666666671,-71.6666666666792,-3.33333333332356,-70.0000000000013,49.0000000000053,-3.00000000000259
2078.99999999996,-232.999999999955,-195.999999999999,-39.9999999999831,670.000000000046,383.000000000035,-36.9999999999354,-424.000000000019,-193.999999999976,-39.0000000000188,-66.000000000025,-2.9999999999993,-65.9999999999632,53.999999999957,2.99999999997451
2090.00000000008,-237.000000000005,-206.333333333283,-43.3333333333027,663.333333333287,377.999999999988,-43.3333333333987,-413.333333333343,-193.666666666628,-33.3333333332884,-66.6666666666583,2.99999999994375,-76.000000000021,46.6666666666041,-4.64008555549136e-11
2072.66666666671,-234.666666666713,-198.66666666667,-39.3333333333492,676.333333333339,386.333333333335,-30.6666666666802,-405.66666666668,-204.666666666694,-40.0000000000191,-64.3333333333236,0.33333333330484,-74.3333333333267,50.9999999999563,5.33333333327798
2087.99999999983,-234.999999999952,-211.000000000012,-40.9999999999336,663.000000000089,382.00000000009,-31.9999999970238,-419.000000000035,-179.999999999998,-44.0000000000843,-66.0000000000565,-0.999999999896312,-74.9999999999193,50.0000000000945,-1.99999999999529
2092.00000000001,-236,-206.999999999981,-42.000000000008,658.000000000007,374.000000000003,-36.9999999999766,-415.000000000008,-199.000000000036,-49.0000000000052,-70.0000000000105,-2.08484384359299e-12,-71.0000000000116,50.9999999999838,5.6879144480787e-12
2109.66666666718,-230.333333333291,-209.999999999992,-40.3333333333559,645.333333332823,361.166666666124,-30.5000000001121,-416.33333333331,-204.000000000002,-40.5000000005315,-69.5000000000365,-9.66666666663113,-74.1666666666652,49.1666666667032,-1.91298937694855e-11
2083.99999999999,-232.999999999994,-203.000000000001,-41,669.000000000005,385.000000000004,-36.9999999999886,-420.99999999999,-209.999999999983,-47.9999999999718,-72.0000000000044,-2.00000000000845,-72.9999999999979,52.0000000000066,-1.99999999999962
2075,-229.500000000059,-201.50000000007,-39.9999999999981,670.999999999997,382.666666666664,-31.6666666666673,-415.83333333327,-207.166666666722,-35.9999999999875,-64.6666666666611,-0.833333333268913,-67.8333333332803,54.8333333332729,3.16666666661222
2083.99999999997,-232.999999999985,-201.000000000002,-45.0000000000028,666.00000000002,382.000000000016,-33.0000000000118,-415.999999999995,-198.00000000001,-39.9999999999713,-65.0000000000009,1.99999999999274,-70.9999999999942,50.0000000000146,1.36925096493784e-11
2083,-234.500000000017,-216.000000000025,-42.0000000000317,672.000000000008,387.499999999987,-32.5000000000234,-417.999999999968,-212.999999999996,-42.4999999999864,-62.5000000000083,-5.00000000001289,-70.9999999999647,49.5000000000111,-1.99999999999455
2092.00000000007,-234.750000000065,-199.500000000008,-40.0000000000085,657.999999999947,372.499999999941,-36.4999999999367,-415.24999999994,-202.500000000058,-34.5000000000007,-65.0000000000053,-2.24999999999915,-72.2500000000056,47.2499999999958,1.49999999999308
2088.00000000015,-234.000000000123,-212.000000000005,-44.9999999999862,661.999999999841,371.999999999875,-33.0000000000197,-415.000000000159,-213.000000000033,-36.0000000000305,-70.0000000000323,1.99999999987607,-65.9999999998734,55.000000000017,5.00000000000679
2099.9999999999,-234.999999999995,-213.999999999109,-39.0000000000005,654.000000000096,369.000000000089,-38.9999999999906,-416.999999999198,-208.999999999987,-32.0000000000041,-68.0000000007955,-5.00000000000792,-74.9999999999956,50.9999999999954,-4.00000000000009
2095.99999999994,-224.99999999995,-202.000000000079,-36.9999999999975,652.999999999996,366.99999999998,-36.9999999999154,-413.999999999977,-194.999999999928,-49.9999999999521,-68.0000000000244,-3.00000000003414,-74.9999999999375,51.0000000000912,3.00000000007087
2099.25000000001,-234.749999999993,-209.499999999997,-38.2500000000101,650.24999999998,361.999999999997,-26.4999999999978,-414.499999999983,-206.999999999956,-28.249999999995,-64.500000000003,-2.99999999999782,-68.2500000000081,50.0000000000039,3.49999999999704
2078.00000008501,-225.999999999959,-206.000000085023,-41.4999999999953,671.999999914997,386.499999914986,-35.0000000000241,-412.5,-212.000000084997,-29.0000000850174,-70.0000000000153,-1.99999991500541,-73.5000000000004,50.0000000000127,1.50000000000094
2084.3750000028,-239.500000000008,-205.000000000001,-37.5000000000007,661.249999999995,373.124999997188,-31.8749999971919,-413.124999997193,-198.124999997163,-41.2500000000045,-72.5000000000031,-4.37500000279621,-63.7499999999933,59.3749999972149,4.37499999720245
