"Method","tau","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.05,1638.67116902378,-243.772395248318,-176.321161201443,-36.2961423754705,817.598129908614,428.777574856348,-20.2718439988921,-442.175807919596,-171.997884418681,10.2540187095788,-84.7973486373306,16.3260795020226,-84.5752819170312,59.2996473682605,-5.65189334947402
"two-step",0.05,1629.16214990951,-241.009602228771,-169.182533121786,-32.63771890364,833.661888053028,441.714732515149,-19.210864462478,-458.692750747504,-157.456015207999,4.3579664748655,-89.4626121698651,17.9366172397446,-87.3878156263215,46.5624810436109,-17.65518123302
"i-Rock",0.05,1642.52520158667,-244.409422079879,-192.305940508751,-43.0937250196327,812.469833874319,414.786563027693,-21.9206462329586,-435.756136811209,-164.375201586675,-23.9826461675125,-86.8604523063519,10.8481403982769,-76.6871777399177,63.989034506209,-6.51341999435263
"two-step",0.05,1633.86401709391,-244.057635606532,-184.308088880122,-38.5374769750228,826.515329551618,425.7990082343,-22.0777314464391,-453.152799820945,-151.341699238888,-32.4889388820608,-90.0654378052472,10.8047151375728,-77.7753703776147,52.3368947965825,-17.2063841746773
"i-Rock",0.05,1629.05778376673,-247.061507630646,-180.898565022073,-40.3659150239945,822.465262325456,427.53201754386,-19.0936616574916,-444.828261878077,-164.035244360902,-10.3445103133752,-88.806775580638,16.6288973444881,-72.084770083647,69.9269149973093,-2.44151809930297
"two-step",0.05,1613.2056853713,-243.474718315662,-173.071570950338,-34.9566627007915,839.901102894093,442.66085385532,-15.1044301125048,-460.657258978523,-145.22164547714,-12.2046551298059,-92.0856692057567,19.815231842169,-74.1794604612922,61.4759291888959,-11.6466704008858
"i-Rock",0.05,1631.6,-246.636497847767,-189.587401414055,-40.5165267187197,822.032407108328,430.067097700284,-23.2104442717619,-449.423425940654,-158.705904951902,2.12552886075449,-85.8198623201477,6.83873383126952,-77.4451154562614,66.3739132246458,0.316786104376153
"two-step",0.05,1617.39070252976,-244.415673381366,-178.393507308473,-34.223524768364,837.149047617851,441.945288635729,-22.4119718855026,-463.357077931914,-144.7827384982,-6.6693943680303,-90.301409680945,11.2640358982933,-77.3694789753693,57.7285751992225,-9.5244384743715
"i-Rock",0.05,1631.14873866683,-257.511427996483,-194.036416039856,-42.1411900858141,824.605740965815,427.22968617076,-23.3876903029834,-441.637310670343,-167.288329204792,-4.84078023084343,-90.963040712625,10.8283104531733,-68.4329584359819,65.8842654653985,1.61577028223292
"two-step",0.05,1617.39100004977,-253.877292686501,-188.490179125517,-36.2660575917719,841.086284104214,440.008019857687,-20.2390493300183,-458.885110001307,-154.085597026251,-7.64127779182301,-96.4474340257231,14.5680735094423,-70.579495340893,57.3464412215944,-7.15095042734876
"i-Rock",0.05,1633.75454744872,-254.110516077093,-199.935954150446,-40.6279265671552,824.903774608115,431.77495664568,-33.0890270901352,-443.42477907229,-168.450409789449,-3.9113145353321,-89.6929448929445,8.23856637345422,-78.494935889107,65.3921693878294,-6.12527984678689
"two-step",0.05,1624.56122200059,-254.957519140525,-192.76006587499,-33.9246020046938,837.213459049601,441.203243841566,-29.9292512228053,-459.300233931118,-153.667070534308,-13.6909021468507,-94.2324453052203,11.7938212287393,-79.4026540595648,56.4320689527304,-17.1093829922814
"i-Rock",0.05,1637.38194298553,-242.770752186918,-189.032963634707,-37.0899721826087,819.078988332657,422.959673987125,-29.1069203850519,-445.390547374126,-160.757139295539,-31.2615956235249,-92.2729298520523,8.93535901492494,-79.550217032471,63.9791552808993,0.960976868340093
"two-step",0.05,1628.69812908762,-240.987229399704,-177.959416400541,-32.8480736056045,831.081137778047,432.848600038082,-25.7213668355303,-463.378055210552,-143.530155928365,-33.0601694281858,-97.378972735751,11.9247671185691,-82.3609871887281,55.6639767403569,-9.02585161348114
"i-Rock",0.05,1640.54829493274,-253.110939135434,-186.218787709506,-39.3389878449344,813.073741486291,421.053337468644,-20.3714524483027,-438.526896341666,-167.409536419034,-4.66994059894097,-86.3503044471668,9.9200477512395,-72.5576513756485,61.6909985364934,-1.32695414663315
"two-step",0.05,1627.33747126001,-250.121648532612,-174.901981280838,-33.0756495220819,830.98008332595,434.669011656132,-19.0693347562358,-455.755181303824,-147.102649189117,-5.91526320895218,-89.6126272070341,10.2109806187858,-74.3179197578091,50.9077665426405,-11.6451417411665
"i-Rock",0.5,2816.85237976344,-195.097778354275,-216.132187669415,-54.0543788517778,315.017887063657,146.966786725563,-12.4263741770751,-266.59497571236,-203.949931326188,-59.9202889304944,-26.6923068870877,-3.52898569948863,-57.7316907105071,43.3309494735163,12.8472717881625
"two-step",0.5,2807.43284202925,-194.388397418033,-216.376945186431,-51.4422351092933,327.438454202589,156.78419558225,-14.7783545654618,-280.359414986635,-209.997743481106,-62.6577401041793,-30.4389971942402,-3.22509205632175,-60.3214765660347,40.3031945264687,8.90204909573762
"i-Rock",0.5,2811.31241072217,-197.283623201392,-211.261906384141,-55.2640242242494,320.956241548322,153.418060880161,-14.1026761279241,-263.614801296322,-202.484360821466,-54.8060605694575,-27.3874316657469,-4.24140764648306,-55.4226537973162,43.5192649303541,13.3733656378122
"two-step",0.5,2802.58956991106,-196.479694530817,-212.481175139877,-53.4903281143743,332.639903636959,162.770938662029,-16.1741473367025,-277.849705885966,-206.963783164717,-56.8515932632938,-31.3027070942837,-3.41172627727856,-58.2761306762809,40.9792586003269,9.72843706535592
"i-Rock",0.5,2814.12697165143,-196.319142477008,-212.436503910325,-52.4028907870215,317.94099019591,152.531408015263,-15.7347524747157,-268.280373820557,-201.793713504703,-55.5462439863032,-25.592438127521,-4.3121972397664,-57.3260961055506,42.009140462669,11.7286499059491
"two-step",0.5,2804.61783805019,-196.061920557139,-213.264864478494,-50.73434365658,330.36670404691,162.055234515587,-16.6087873804537,-282.091798173356,-207.263920252853,-56.9153054195485,-29.974316775563,-4.22800607874439,-60.3269365615631,39.1286125168382,9.01755631391049
"i-Rock",0.5,2817.58009721538,-197.87101667474,-217.868043250123,-55.7967430926859,314.309986645038,148.503312200402,-13.9404832395719,-269.499772314862,-211.438958855709,-53.9819367530705,-27.5702955547711,-4.25963150752973,-54.5710704900314,44.5900150002654,14.3078081248097
"two-step",0.5,2808.26963887742,-197.519918414703,-218.372989831322,-53.8073864875525,326.672520535359,157.655202898752,-15.4537972857566,-284.259185413905,-218.209651489443,-57.1417652550564,-32.1758099630641,-3.09283872061173,-56.5175055408371,41.9382039547985,10.3615452907706
"i-Rock",0.5,2817.87688304513,-199.326005561454,-214.211824545466,-52.1109913531011,314.690410250334,147.749527560227,-16.8217864333282,-268.560913710139,-206.310948149273,-53.5637658260183,-27.1459896404562,-4.98454190983781,-58.2413707436699,43.19944630432,12.3777473988002
"two-step",0.5,2809.15338214861,-199.075034551545,-215.916886946149,-50.702370566921,326.581158255751,156.605445766241,-18.0570254892853,-282.772994051586,-212.79356317069,-56.6869019944145,-30.7424880169624,-4.09365596408383,-60.4753236412843,40.4246729244204,8.6861250408277
"i-Rock",0.5,2817.43678472627,-195.555249410774,-213.52486546988,-51.1945370329547,316.365123918132,149.468497873874,-16.1737839812881,-268.092313105586,-206.370002364176,-61.1867847262672,-27.9205077434132,-7.57530757846367,-57.2966811227426,40.8395616557673,12.8393078171693
"two-step",0.5,2809.63666645888,-195.716040251369,-213.464069697788,-50.241875373023,327.321613516329,157.59294434864,-16.9847098737776,-281.760089205309,-212.181124241705,-63.1666506819771,-31.132838761406,-6.92845666717848,-60.1507511950892,37.7889560294226,9.03547990894279
"i-Rock",0.5,2819.39168086883,-197.568530260592,-215.012229327473,-54.2597556998847,312.305589758177,145.976382404491,-11.5742932807281,-269.167321894471,-207.32109904587,-51.2832244905083,-26.7250552552421,-5.57299430991448,-54.8199954128114,42.7883183928939,13.7881622358511
"two-step",0.5,2811.02552833657,-197.330006488335,-216.276641767663,-52.9116799650275,324.47995527859,155.335059493532,-13.6647995701689,-282.795825425627,-212.037328103024,-53.4428227000811,-30.6828788479627,-5.71790828797335,-57.7548013597603,39.3989877044067,9.87740218692213
