"Method","tau","n","p","seed","K","beta0","beta1","time"
"two_step_Neyman",0.9,10000,1,173,NA,0.0153982009490676,-0.00822532605140847,0.0680000000000405
"two_step_LS",0.9,10000,1,173,NA,0.00632719998065912,-0.0037152733288397,0.0149999999999864
"mRock_kNN_bs_Neyman",0.9,10000,1,174,461,0.00268180659934547,0.00478608433847239,86.297
"mRock_kNN_local_linear_Neyman",0.9,10000,1,174,461,8.31606956142039e-06,0.00193400562572466,73.663
"mRock_kNN_global_linear_Neyman",0.9,10000,1,174,461,0.0030207045695505,0.00488882221434261,73.346
"mRock_kNN_bs_Neyman",0.9,10000,1,174,921,0.00295572752745832,0.00481140376409517,84.9880000000001
"mRock_kNN_local_linear_Neyman",0.9,10000,1,174,921,0.000646532321311621,0.00401531103898867,67.593
"mRock_kNN_global_linear_Neyman",0.9,10000,1,174,921,0.00326490158425696,0.00483230289601622,71.2089999999999
"two_step_Neyman",0.9,10000,1,174,NA,-0.00238507826264023,0.0072227791227899,0.0579999999999927
"two_step_LS",0.9,10000,1,174,NA,0.000678414148726825,0.005743702080522,0.0180000000000291
"mRock_kNN_bs_Neyman",0.9,10000,1,175,461,-0.00762958504852462,0.0083945391986644,88.047
"mRock_kNN_local_linear_Neyman",0.9,10000,1,175,461,-0.00696981307964872,0.0030087316933467,74.911
"mRock_kNN_global_linear_Neyman",0.9,10000,1,175,461,-0.00780231408754584,0.00863537802682979,74.409
"mRock_kNN_bs_Neyman",0.9,10000,1,175,921,-0.006325992787934,0.00602787075265798,85.013
"mRock_kNN_local_linear_Neyman",0.9,10000,1,175,921,-0.00551397438374046,0.00313461849730201,67.674
"mRock_kNN_global_linear_Neyman",0.9,10000,1,175,921,-0.00651190407684243,0.00618747883862403,71.738
"two_step_Neyman",0.9,10000,1,175,NA,-0.0144213721755238,0.010475347445619,0.0640000000000214
"two_step_LS",0.9,10000,1,175,NA,-0.00915224192932906,0.00776098359369914,0.0160000000000196
"mRock_kNN_bs_Neyman",0.9,10000,1,176,461,-0.00713242743212428,0.00271574928690343,81.433
"mRock_kNN_local_linear_Neyman",0.9,10000,1,176,461,-0.00894418070955405,-0.00112200886476943,68.347
"mRock_kNN_global_linear_Neyman",0.9,10000,1,176,461,-0.00662801313087358,0.00246926267718184,68.632
"mRock_kNN_bs_Neyman",0.9,10000,1,176,921,-0.0114729568676568,0.0044092713496009,79.207
"mRock_kNN_local_linear_Neyman",0.9,10000,1,176,921,-0.0102780975672088,0.000942166674640976,61.984
"mRock_kNN_global_linear_Neyman",0.9,10000,1,176,921,-0.0110310363233885,0.00428931827601486,66.372
"two_step_Neyman",0.9,10000,1,176,NA,-0.0231215512422067,0.0104961898870006,0.0559999999999832
"two_step_LS",0.9,10000,1,176,NA,-0.0140600215623639,0.00603698719408419,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,177,461,0.0115583414586387,-0.00431523030296432,80.706
"mRock_kNN_local_linear_Neyman",0.9,10000,1,177,461,0.0106580093761763,-0.00857107912092037,68.172
"mRock_kNN_global_linear_Neyman",0.9,10000,1,177,461,0.0121924084280529,-0.00448306148734368,69.119
"mRock_kNN_bs_Neyman",0.9,10000,1,177,921,0.0110557061380696,-0.00472832661387379,78.917
"mRock_kNN_local_linear_Neyman",0.9,10000,1,177,921,0.0105790147443434,-0.0064613482779885,62.541
"mRock_kNN_global_linear_Neyman",0.9,10000,1,177,921,0.0114328973751834,-0.00482803430771517,67.291
"two_step_Neyman",0.9,10000,1,177,NA,0.00955643954248897,-0.00377779073687901,0.0609999999999786
"two_step_LS",0.9,10000,1,177,NA,0.00143855080492994,0.000188009886745721,0.0180000000000291
"mRock_kNN_bs_Neyman",0.9,10000,1,178,461,0.00356372278083295,-0.00368271575977719,81.656
"mRock_kNN_local_linear_Neyman",0.9,10000,1,178,461,0.00153933046963917,-0.00710693130985129,67.821
"mRock_kNN_global_linear_Neyman",0.9,10000,1,178,461,0.0035855589064635,-0.00362496260905454,68.588
"mRock_kNN_bs_Neyman",0.9,10000,1,178,921,0.00230006791383341,-0.00449095051005566,79.173
"mRock_kNN_local_linear_Neyman",0.9,10000,1,178,921,0.00110858285988291,-0.00606898002801071,61.952
"mRock_kNN_global_linear_Neyman",0.9,10000,1,178,921,0.00227291504359339,-0.00439891914057222,66.153
"two_step_Neyman",0.9,10000,1,178,NA,-0.00356149216835777,-0.00181402208743231,0.0600000000000023
"two_step_LS",0.9,10000,1,178,NA,0.00124133940603888,-0.00441564382055715,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,179,461,-0.0104552355114451,0.00792536707210889,81.678
"mRock_kNN_local_linear_Neyman",0.9,10000,1,179,461,-0.0106531780525589,0.0033376888653045,68.584
"mRock_kNN_global_linear_Neyman",0.9,10000,1,179,461,-0.0102360108376391,0.00783113614490949,69.631
"mRock_kNN_bs_Neyman",0.9,10000,1,179,921,-0.00935476576386529,0.00603973991164297,78.938
"mRock_kNN_local_linear_Neyman",0.9,10000,1,179,921,-0.00832880092829091,0.00333781006428868,61.76
"mRock_kNN_global_linear_Neyman",0.9,10000,1,179,921,-0.00931489054686607,0.00613288860611805,66.4930000000001
"two_step_Neyman",0.9,10000,1,179,NA,-0.0106262918017217,0.00593242037803554,0.0579999999999927
"two_step_LS",0.9,10000,1,179,NA,-0.0106861479809064,0.00590006883247751,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,18,461,-0.00937990927065679,0.0111405596833851,79.833
"mRock_kNN_local_linear_Neyman",0.9,10000,1,18,461,-0.00933260688440463,0.00433017876902131,71.972
"mRock_kNN_global_linear_Neyman",0.9,10000,1,18,461,-0.00950565499248901,0.0113078016337247,70.106
"mRock_kNN_bs_Neyman",0.9,10000,1,18,921,-0.00844276278425915,0.00970860932061957,81.224
"mRock_kNN_local_linear_Neyman",0.9,10000,1,18,921,-0.00820406239504679,0.00647452505616686,62.861
"mRock_kNN_global_linear_Neyman",0.9,10000,1,18,921,-0.00884238529347914,0.0100562614918109,67.185
"two_step_Neyman",0.9,10000,1,18,NA,-0.0171451512509952,0.0130420159322844,0.0579999999999927
"two_step_LS",0.9,10000,1,18,NA,-0.016084010962222,0.0124293954111523,0.0160000000000196
"mRock_kNN_bs_Neyman",0.9,10000,1,180,461,0.00468485132313612,0.00296987597018239,82.082
"mRock_kNN_local_linear_Neyman",0.9,10000,1,180,461,-0.000296083520252566,0.00119288551856345,68.607
"mRock_kNN_global_linear_Neyman",0.9,10000,1,180,461,0.00479491003902233,0.00301212376310778,69.826
"mRock_kNN_bs_Neyman",0.9,10000,1,180,921,0.0017467741522339,0.00291724355111356,78.875
"mRock_kNN_local_linear_Neyman",0.9,10000,1,180,921,-0.00182308321535674,0.00267971328428374,61.853
"mRock_kNN_global_linear_Neyman",0.9,10000,1,180,921,0.00198501424691111,0.00291867506573418,66.588
"two_step_Neyman",0.9,10000,1,180,NA,-0.00219536800539344,0.00474592405232155,0.0579999999999927
"two_step_LS",0.9,10000,1,180,NA,-0.00613165824584661,0.00669853373568063,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,181,461,0.00958165617682916,-0.00216444985618303,81.392
"mRock_kNN_local_linear_Neyman",0.9,10000,1,181,461,0.007717389458753,-0.00729892089840467,67.683
"mRock_kNN_global_linear_Neyman",0.9,10000,1,181,461,0.00941076630213034,-0.00187629884501206,68.274
"mRock_kNN_bs_Neyman",0.9,10000,1,181,921,0.00933496503601305,-0.00385080970671403,78.903
"mRock_kNN_local_linear_Neyman",0.9,10000,1,181,921,0.00869983022812493,-0.0065992031428439,61.979
"mRock_kNN_global_linear_Neyman",0.9,10000,1,181,921,0.0088004948116347,-0.00335625875992429,65.86
"two_step_Neyman",0.9,10000,1,181,NA,0.00941535918433711,-0.00397828590169391,0.0570000000000164
"two_step_LS",0.9,10000,1,181,NA,0.0124760337804151,-0.0053769163276205,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,182,461,-0.00851649327165371,0.00586617338075079,82.267
"mRock_kNN_local_linear_Neyman",0.9,10000,1,182,461,-0.00930378457524905,0.00157160860605954,68.387
"mRock_kNN_global_linear_Neyman",0.9,10000,1,182,461,-0.00820038963851544,0.00599574379651369,69.19
"mRock_kNN_bs_Neyman",0.9,10000,1,182,921,-0.00877234010977479,0.0045304324036044,79.484
"mRock_kNN_local_linear_Neyman",0.9,10000,1,182,921,-0.00912551907025794,0.00194993866683779,62.024
"mRock_kNN_global_linear_Neyman",0.9,10000,1,182,921,-0.0082124292602872,0.00456270918834978,66.66
"two_step_Neyman",0.9,10000,1,182,NA,-0.00910469771761413,0.00333383059950565,0.0529999999999973
"two_step_LS",0.9,10000,1,182,NA,-0.00963478389907579,0.00360601878424394,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,183,461,0.00601573132145794,0.00259074855312758,81.187
"mRock_kNN_local_linear_Neyman",0.9,10000,1,183,461,0.00513727985284151,-0.00327211812742201,68.301
"mRock_kNN_global_linear_Neyman",0.9,10000,1,183,461,0.00596927912572442,0.00276568718792314,68.189
"mRock_kNN_bs_Neyman",0.9,10000,1,183,921,0.00403065475328646,0.00215287733919611,79.748
"mRock_kNN_local_linear_Neyman",0.9,10000,1,183,921,0.00326913402480478,0.000148522354025182,62.803
"mRock_kNN_global_linear_Neyman",0.9,10000,1,183,921,0.00397748918439689,0.00218921093350399,66.628
"two_step_Neyman",0.9,10000,1,183,NA,0.00557149108233501,0.00098281079422069,0.0570000000000164
"two_step_LS",0.9,10000,1,183,NA,0.00452035454303279,0.00150729716240683,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,184,461,0.00145905381932798,-0.00227868743525894,78.803
"mRock_kNN_local_linear_Neyman",0.9,10000,1,184,461,0.000119640207770999,-0.00715086207203264,67.102
"mRock_kNN_global_linear_Neyman",0.9,10000,1,184,461,0.00150925238100919,-0.00226474247535302,66.52
"mRock_kNN_bs_Neyman",0.9,10000,1,184,921,0.00255767806292484,-0.00397909789052431,76.851
"mRock_kNN_local_linear_Neyman",0.9,10000,1,184,921,0.0024544746403008,-0.00601605351304535,61.408
"mRock_kNN_global_linear_Neyman",0.9,10000,1,184,921,0.00255335707826276,-0.00393434025587158,64.132
"two_step_Neyman",0.9,10000,1,184,NA,0.00222418902717214,-0.00454755888043712,0.0559999999999832
"two_step_LS",0.9,10000,1,184,NA,0.00519945244543973,-0.00602534259095266,0.0180000000000291
"mRock_kNN_bs_Neyman",0.9,10000,1,185,461,-0.00353689048363237,0.00323922304378987,85.05
"mRock_kNN_local_linear_Neyman",0.9,10000,1,185,461,-0.00467928955932351,-0.000687973054500635,71.863
"mRock_kNN_global_linear_Neyman",0.9,10000,1,185,461,-0.00347074795085911,0.00429818816691485,71.244
"mRock_kNN_bs_Neyman",0.9,10000,1,185,921,-0.00186247288753338,0.000679173231106667,82.745
"mRock_kNN_local_linear_Neyman",0.9,10000,1,185,921,-0.00270523462780292,-0.000807289074530093,65.331
"mRock_kNN_global_linear_Neyman",0.9,10000,1,185,921,-0.00188481664350038,0.00192581188873087,68.925
"two_step_Neyman",0.9,10000,1,185,NA,-0.0175986374319006,0.00887567628395036,0.0590000000000259
"two_step_LS",0.9,10000,1,185,NA,-0.00756155990874263,0.00373667246123421,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,186,461,-0.00409076090923244,0.00121158056896231,84.811
"mRock_kNN_local_linear_Neyman",0.9,10000,1,186,461,-0.00630283641465668,-0.000981821768275548,72.052
"mRock_kNN_global_linear_Neyman",0.9,10000,1,186,461,-0.00410811817165957,0.00125284443103268,71.979
"mRock_kNN_bs_Neyman",0.9,10000,1,186,921,-0.00462284082712539,0.000419389640397672,83.179
"mRock_kNN_local_linear_Neyman",0.9,10000,1,186,921,-0.00549790336979283,-0.000445564744075533,66.567
"mRock_kNN_global_linear_Neyman",0.9,10000,1,186,921,-0.00469029589752235,0.000496116067386865,70.347
"two_step_Neyman",0.9,10000,1,186,NA,0.00022704433673093,-0.00224934867932935,0.061999999999955
"two_step_LS",0.9,10000,1,186,NA,-0.000990456603776391,-0.0016315422652684,0.0150000000000432
"mRock_kNN_bs_Neyman",0.9,10000,1,187,461,-0.0179240919239523,0.0081147664328447,84.823
"mRock_kNN_local_linear_Neyman",0.9,10000,1,187,461,-0.017060219904111,0.00223340307506836,72.426
"mRock_kNN_global_linear_Neyman",0.9,10000,1,187,461,-0.0180967638784197,0.00875189801891407,71.602
"mRock_kNN_bs_Neyman",0.9,10000,1,187,921,-0.0166700712053811,0.00548539359991551,83.33
"mRock_kNN_local_linear_Neyman",0.9,10000,1,187,921,-0.0166383673965562,0.00357180592414874,66.776
"mRock_kNN_global_linear_Neyman",0.9,10000,1,187,921,-0.0167791472721273,0.00620838546409974,69.593
"two_step_Neyman",0.9,10000,1,187,NA,-0.0355959462529665,0.0161050955256234,0.0579999999999927
"two_step_LS",0.9,10000,1,187,NA,-0.021784743650948,0.00923783400607237,0.0149999999999864
"mRock_kNN_bs_Neyman",0.9,10000,1,188,461,0.00120944302401904,-0.00191605019184493,80.545
"mRock_kNN_local_linear_Neyman",0.9,10000,1,188,461,0.000838019859103367,-0.00593317569833962,68.228
"mRock_kNN_global_linear_Neyman",0.9,10000,1,188,461,0.000257452223885846,-0.00100527757668178,69.465
"mRock_kNN_bs_Neyman",0.9,10000,1,188,921,0.00241221152276005,-0.0037428297313391,78.369
"mRock_kNN_local_linear_Neyman",0.9,10000,1,188,921,0.00321476819582323,-0.00621697616687245,62.497
"mRock_kNN_global_linear_Neyman",0.9,10000,1,188,921,0.001757821407808,-0.00293756895038566,66.772
"two_step_Neyman",0.9,10000,1,188,NA,-0.00548017726299688,0.000469837910511473,0.0539999999999736
"two_step_LS",0.9,10000,1,188,NA,-0.000121399683379542,-0.00234063827356579,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,189,461,0.00209263808549198,-0.00615291209152113,81.544
"mRock_kNN_local_linear_Neyman",0.9,10000,1,189,461,-0.00169196647750258,-0.00918443269368918,68.872
"mRock_kNN_global_linear_Neyman",0.9,10000,1,189,461,0.00197565871130645,-0.00576401112995706,68.845
"mRock_kNN_bs_Neyman",0.9,10000,1,189,921,0.000859711198478497,-0.006730065008274,79.21
"mRock_kNN_local_linear_Neyman",0.9,10000,1,189,921,-0.0012607468320518,-0.00755177384054706,62.766
"mRock_kNN_global_linear_Neyman",0.9,10000,1,189,921,0.000589595235610085,-0.00643317395888365,66.4
"two_step_Neyman",0.9,10000,1,189,NA,-0.00761767722137163,-0.00174373097911484,0.0540000000000305
"two_step_LS",0.9,10000,1,189,NA,-0.00785431185036578,-0.00142204522659695,0.0149999999999864
"mRock_kNN_bs_Neyman",0.9,10000,1,19,461,0.00803729489521365,-0.00491555427346668,79.385
"mRock_kNN_local_linear_Neyman",0.9,10000,1,19,461,0.0065631799097785,-0.00851527867618529,71.719
"mRock_kNN_global_linear_Neyman",0.9,10000,1,19,461,0.00835723204482464,-0.00486091106379005,70.132
"mRock_kNN_bs_Neyman",0.9,10000,1,19,921,0.00977180160035895,-0.00655656371009039,79.886
"mRock_kNN_local_linear_Neyman",0.9,10000,1,19,921,0.0115749518013757,-0.00996554257731441,61.798
"mRock_kNN_global_linear_Neyman",0.9,10000,1,19,921,0.0100728226483586,-0.00648549907118356,66.995
"two_step_Neyman",0.9,10000,1,19,NA,0.0174834828060046,-0.0102991949489657,0.0589999999999691
"two_step_LS",0.9,10000,1,19,NA,0.010109510744563,-0.00658757693398826,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,190,461,0.00276328730016573,0.00435468108234804,81.276
"mRock_kNN_local_linear_Neyman",0.9,10000,1,190,461,-0.00256183232946805,0.00227522227774246,68.364
"mRock_kNN_global_linear_Neyman",0.9,10000,1,190,461,0.00294520324857261,0.00506345710877065,68.503
"mRock_kNN_bs_Neyman",0.9,10000,1,190,921,-0.000556479627562112,0.00618190687298759,78.379
"mRock_kNN_local_linear_Neyman",0.9,10000,1,190,921,-0.00494294108076176,0.00621876069206584,61.766
"mRock_kNN_global_linear_Neyman",0.9,10000,1,190,921,-0.00031384207705365,0.00689271873789243,65.519
"two_step_Neyman",0.9,10000,1,190,NA,0.00293740896442851,0.00331590822480354,0.0559999999999832
"two_step_LS",0.9,10000,1,190,NA,-0.00115142436930227,0.00519445985487543,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,191,461,0.00656486638674636,-0.00177947069510598,82.231
"mRock_kNN_local_linear_Neyman",0.9,10000,1,191,461,0.00537623656833452,-0.00512107280411422,69.157
"mRock_kNN_global_linear_Neyman",0.9,10000,1,191,461,0.00654741960297933,-0.00158939244443213,69.931
"mRock_kNN_bs_Neyman",0.9,10000,1,191,921,0.00744468711422264,-0.00421187786193711,79.142
"mRock_kNN_local_linear_Neyman",0.9,10000,1,191,921,0.00577043351269269,-0.00485027943063177,62.336
"mRock_kNN_global_linear_Neyman",0.9,10000,1,191,921,0.00723129354730356,-0.00391745373524488,66.984
"two_step_Neyman",0.9,10000,1,191,NA,0.00905362801110643,-0.00481608702177194,0.0530000000000541
"two_step_LS",0.9,10000,1,191,NA,0.000990096843470845,-0.000809896549317735,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,192,461,-0.0107995064133311,0.0153402115796291,81.829
"mRock_kNN_local_linear_Neyman",0.9,10000,1,192,461,-0.0128991153122195,0.0124281164729911,67.579
"mRock_kNN_global_linear_Neyman",0.9,10000,1,192,461,-0.010846839000108,0.0154008328098869,68.223
"mRock_kNN_bs_Neyman",0.9,10000,1,192,921,-0.0117670485181163,0.0146259219989049,78.959
"mRock_kNN_local_linear_Neyman",0.9,10000,1,192,921,-0.0123906951802724,0.013539400639663,61.363
"mRock_kNN_global_linear_Neyman",0.9,10000,1,192,921,-0.0119272275116622,0.0147816743808158,65.4949999999999
"two_step_Neyman",0.9,10000,1,192,NA,-0.015753056511661,0.0172663979218464,0.05600000000004
"two_step_LS",0.9,10000,1,192,NA,-0.0135966745443807,0.0161632252345454,0.0139999999999532
"mRock_kNN_bs_Neyman",0.9,10000,1,193,461,-0.00260833831955765,0.00225928183334689,80.604
"mRock_kNN_local_linear_Neyman",0.9,10000,1,193,461,-0.00289941303230612,-0.00241678736623996,68.361
"mRock_kNN_global_linear_Neyman",0.9,10000,1,193,461,-0.00227477784259689,0.00220129116604761,68.11
"mRock_kNN_bs_Neyman",0.9,10000,1,193,921,-0.00397053329833486,0.0025066057026244,78.83
"mRock_kNN_local_linear_Neyman",0.9,10000,1,193,921,-0.00315812523425674,-0.000681621578795255,62.444
"mRock_kNN_global_linear_Neyman",0.9,10000,1,193,921,-0.00362005320648406,0.00238238393421186,65.695
"two_step_Neyman",0.9,10000,1,193,NA,-0.000693754987786344,-0.000130559393289875,0.0550000000000068
"two_step_LS",0.9,10000,1,193,NA,0.00195605140212129,-0.00143558256208731,0.0179999999999723
"mRock_kNN_bs_Neyman",0.9,10000,1,194,461,0.00596795865874,-0.000775726592360915,80.562
"mRock_kNN_local_linear_Neyman",0.9,10000,1,194,461,0.00576156080041668,-0.00471722137450437,67.154
"mRock_kNN_global_linear_Neyman",0.9,10000,1,194,461,0.00615277353304711,2.47819459109344e-05,67.896
"mRock_kNN_bs_Neyman",0.9,10000,1,194,921,0.00485894879631665,3.04702297504456e-05,78.999
"mRock_kNN_local_linear_Neyman",0.9,10000,1,194,921,0.00548779818016509,-0.00233419884029029,62.387
"mRock_kNN_global_linear_Neyman",0.9,10000,1,194,921,0.00538885185607296,0.000519290998775013,66.1079999999999
"two_step_Neyman",0.9,10000,1,194,NA,0.0201847910148594,-0.00886688786548495,0.0570000000000164
"two_step_LS",0.9,10000,1,194,NA,0.00485492027735179,-0.00122654716394344,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,195,461,0.00634986909111346,-0.00262745216476024,83.993
"mRock_kNN_local_linear_Neyman",0.9,10000,1,195,461,0.00257543355922518,-0.0062134073923743,70.357
"mRock_kNN_global_linear_Neyman",0.9,10000,1,195,461,0.00629534027204781,-0.00227581982140901,73.89
"mRock_kNN_bs_Neyman",0.9,10000,1,195,921,0.00629794076657819,-0.00394367858887312,81.52
"mRock_kNN_local_linear_Neyman",0.9,10000,1,195,921,0.00468448390003484,-0.00568951457350897,63.945
"mRock_kNN_global_linear_Neyman",0.9,10000,1,195,921,0.0063065621827969,-0.00365785962886545,69.418
"two_step_Neyman",0.9,10000,1,195,NA,0.00954369224846241,-0.00676325250839449,0.0550000000000068
"two_step_LS",0.9,10000,1,195,NA,0.00174381526872769,-0.00287913567943043,0.0150000000000432
"mRock_kNN_bs_Neyman",0.9,10000,1,196,461,-0.0150691804580774,0.00892740305617501,83.372
"mRock_kNN_local_linear_Neyman",0.9,10000,1,196,461,-0.0160829535198825,0.00571549649357506,69.982
"mRock_kNN_global_linear_Neyman",0.9,10000,1,196,461,-0.0148037607914615,0.00905867801769711,72.668
"mRock_kNN_bs_Neyman",0.9,10000,1,196,921,-0.0182228543084626,0.0109486443488742,80.953
"mRock_kNN_local_linear_Neyman",0.9,10000,1,196,921,-0.0183205544180973,0.00949010858180976,63.472
"mRock_kNN_global_linear_Neyman",0.9,10000,1,196,921,-0.0179145871438102,0.0110264457798541,67.854
"two_step_Neyman",0.9,10000,1,196,NA,-0.0127698767759148,0.00713957564677203,0.0609999999999786
"two_step_LS",0.9,10000,1,196,NA,-0.0142982088271897,0.00793935933196099,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,197,461,-0.000320700294917486,-0.000456839650436969,82.232
"mRock_kNN_local_linear_Neyman",0.9,10000,1,197,461,-0.00330865134390357,-0.00303094502032364,69.12
"mRock_kNN_global_linear_Neyman",0.9,10000,1,197,461,-0.00130368666777736,0.000588776647866052,69.027
"mRock_kNN_bs_Neyman",0.9,10000,1,197,921,0.000447792153124515,-0.00200030069873858,81.187
"mRock_kNN_local_linear_Neyman",0.9,10000,1,197,921,-0.00155482338303603,-0.00298869362115406,64.26
"mRock_kNN_global_linear_Neyman",0.9,10000,1,197,921,-5.12872076530169e-05,-0.00124527173023781,68.205
"two_step_Neyman",0.9,10000,1,197,NA,0.00218538842118732,-0.00354411200123872,0.0579999999999927
"two_step_LS",0.9,10000,1,197,NA,-0.00592954848115945,0.000394663649875948,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,198,461,-0.00112428801278397,0.00176274529388731,83.937
"mRock_kNN_local_linear_Neyman",0.9,10000,1,198,461,-0.00187534295872083,-0.00303228154245128,69.4
"mRock_kNN_global_linear_Neyman",0.9,10000,1,198,461,-0.000600042040698634,0.00206315574436555,70.332
"mRock_kNN_bs_Neyman",0.9,10000,1,198,921,8.94298056008935e-06,-0.000325108771510152,80.758
"mRock_kNN_local_linear_Neyman",0.9,10000,1,198,921,-0.000796051302311307,-0.00184412878724061,63.317
"mRock_kNN_global_linear_Neyman",0.9,10000,1,198,921,0.000237719883827925,0.000202640551205224,67.837
"two_step_Neyman",0.9,10000,1,198,NA,-0.0171597502612302,0.00827961938027588,0.0570000000000164
"two_step_LS",0.9,10000,1,198,NA,-0.00421494532147548,0.00172534089243426,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,199,461,0.0150854856704983,-0.00512662213374915,91.024
"mRock_kNN_local_linear_Neyman",0.9,10000,1,199,461,0.0130237740647576,-0.00767550844870346,74.632
"mRock_kNN_global_linear_Neyman",0.9,10000,1,199,461,0.0162326283392908,-0.00551323164864881,77.56
"mRock_kNN_bs_Neyman",0.9,10000,1,199,921,0.0157682761813573,-0.00535319632863107,88.827
"mRock_kNN_local_linear_Neyman",0.9,10000,1,199,921,0.0148373688842722,-0.00639197290996929,67.288
"mRock_kNN_global_linear_Neyman",0.9,10000,1,199,921,0.0169511279199206,-0.00575109047475397,74.288
"two_step_Neyman",0.9,10000,1,199,NA,0.0210243002608173,-0.00865969554680834,0.0690000000000168
"two_step_LS",0.9,10000,1,199,NA,0.00994214456196363,-0.00308010074172227,0.0169999999999959
"mRock_kNN_bs_Neyman",0.9,10000,1,2,461,0.010030762293201,-0.00330707552352205,82.227
"mRock_kNN_local_linear_Neyman",0.9,10000,1,2,461,0.00857963874474055,-0.00752471054281445,68.63
"mRock_kNN_global_linear_Neyman",0.9,10000,1,2,461,0.0101961435905185,-0.00331539039232442,69.817
"mRock_kNN_bs_Neyman",0.9,10000,1,2,921,0.0082747706088715,-0.00343869093359217,80.585
"mRock_kNN_local_linear_Neyman",0.9,10000,1,2,921,0.0066344769315263,-0.00435634563624676,62.639
"mRock_kNN_global_linear_Neyman",0.9,10000,1,2,921,0.00824456055978784,-0.00338907238271169,67.64
"two_step_Neyman",0.9,10000,1,2,NA,0.0170012473583541,-0.00873766234927453,0.0570000000000164
"two_step_LS",0.9,10000,1,2,NA,0.0148839531909453,-0.00769785617043484,0.0149999999999864
"mRock_kNN_bs_Neyman",0.9,10000,1,20,461,-0.00184167409178948,0.000102094141282816,83.174
"mRock_kNN_local_linear_Neyman",0.9,10000,1,20,461,-0.00616215641080919,-0.00163729725457884,69.661
"mRock_kNN_global_linear_Neyman",0.9,10000,1,20,461,-0.00231323579378451,0.00103235375992217,69.343
"mRock_kNN_bs_Neyman",0.9,10000,1,20,921,-0.00357718670225271,0.000944120051070474,81.68
"mRock_kNN_local_linear_Neyman",0.9,10000,1,20,921,-0.00602791720655138,3.6656544109448e-05,64.401
"mRock_kNN_global_linear_Neyman",0.9,10000,1,20,921,-0.00390004682405731,0.00169909022630366,67.86
"two_step_Neyman",0.9,10000,1,20,NA,0.0101169363403357,-0.00781738965729861,0.0550000000000068
"two_step_LS",0.9,10000,1,20,NA,0.000435394867343453,-0.00290051819629333,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,200,461,0.0106673598475224,-0.00522262011182217,82.517
"mRock_kNN_local_linear_Neyman",0.9,10000,1,200,461,0.00929518876576729,-0.009404471600436,69.197
"mRock_kNN_global_linear_Neyman",0.9,10000,1,200,461,0.0106086278712383,-0.00514912017198732,69.479
"mRock_kNN_bs_Neyman",0.9,10000,1,200,921,0.010476514619792,-0.00523679879851491,80.88
"mRock_kNN_local_linear_Neyman",0.9,10000,1,200,921,0.0107104386405008,-0.0082015154828885,63.714
"mRock_kNN_global_linear_Neyman",0.9,10000,1,200,921,0.0103767386171685,-0.00514730979666078,67.152
"two_step_Neyman",0.9,10000,1,200,NA,0.00596695390404878,-0.00362456556137714,0.0579999999999927
"two_step_LS",0.9,10000,1,200,NA,0.0110274368300123,-0.00594741054880998,0.0190000000000055
"mRock_kNN_bs_Neyman",0.9,10000,1,201,461,-0.00705945943145947,0.0107945820445425,83.075
"mRock_kNN_local_linear_Neyman",0.9,10000,1,201,461,-0.0100288252953031,0.0082959591992009,69.729
"mRock_kNN_global_linear_Neyman",0.9,10000,1,201,461,-0.00675197010366357,0.0107223889372863,70.122
"mRock_kNN_bs_Neyman",0.9,10000,1,201,921,-0.00705774395270664,0.00996053498494032,80.671
"mRock_kNN_local_linear_Neyman",0.9,10000,1,201,921,-0.00912399243918016,0.00956938425448817,63.218
"mRock_kNN_global_linear_Neyman",0.9,10000,1,201,921,-0.00657998996588849,0.00978176457507152,67.706
"two_step_Neyman",0.9,10000,1,201,NA,-0.0036517588116054,0.00781648731634155,0.0559999999999832
"two_step_LS",0.9,10000,1,201,NA,-0.00286218601222421,0.00741362998511574,0.0190000000000055
"mRock_kNN_bs_Neyman",0.9,10000,1,202,461,0.0183601881236874,-0.0227269146728202,85.815
"mRock_kNN_local_linear_Neyman",0.9,10000,1,202,461,0.0162190017859725,-0.0260212190614006,73.057
"mRock_kNN_global_linear_Neyman",0.9,10000,1,202,461,0.0196780445785143,-0.0230611372434302,73.222
