"Method","tau","n","p","seed","K","beta0","beta1","beta2","beta3","time"
"mRock_kNN_global_bs_Neyman",0.9,5000,3,210,301,-2.02626437679378,0.382039129954037,-4.39260998686358,2.73311372187534,12.892
"mRock_kNN_global_linear_Neyman",0.9,5000,3,210,602,12.134024510267,-2.50786580786213,-9.71185788798801,-2.09679930028613,8.08500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,210,602,-2.40972492388533,0.633068579285065,-5.20450929146255,1.80830412220041,12.214
"two_step_Neyman",0.9,5000,3,210,NA,6.10399154803179,-3.43906867166896,-7.29963958509292,1.92550824230653,0.0409999999999968
"two_step_LS",0.9,5000,3,210,NA,-1.59454541136235,9.55116081042117,-4.57548795864961,1.41520880340153,0.0150000000000148
"mRock_kNN_global_linear_Neyman",0.9,5000,3,211,301,11.7629756047404,-7.17082148774706,-4.80107208361625,2.41833889844014,8.124
"mRock_kNN_global_bs_Neyman",0.9,5000,3,211,301,-1.20342817724549,-1.2411359418085,-1.78471386381955,0.919798008406582,11.528
"mRock_kNN_global_linear_Neyman",0.9,5000,3,211,602,8.34670443231895,-5.56654562062914,-5.28617373751113,2.05084167849535,7.43299999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,211,602,-2.35826719979658,-1.19731007863549,-2.13052250007356,2.55505196104789,10.819
"two_step_Neyman",0.9,5000,3,211,NA,2.12481714654204,-5.87739825275824,-0.79489706938188,4.99538973794663,0.0319999999999823
"two_step_LS",0.9,5000,3,211,NA,-6.94455245432497,7.20788581552988,6.81480167219267,2.4546865582467,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,212,301,11.8090954744306,-6.82539116848137,-3.31924019873139,6.37052264496151,8.958
"mRock_kNN_global_bs_Neyman",0.9,5000,3,212,301,-2.48228644845056,-1.36807095626302,1.74128826025954,6.70123427283342,12.255
"mRock_kNN_global_linear_Neyman",0.9,5000,3,212,602,9.09901977233641,-6.21141683614228,-4.15688586070271,5.70555731360271,7.40200000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,212,602,-2.57855995162908,-1.33146211927217,0.55378239354376,6.3982492611901,11.176
"two_step_Neyman",0.9,5000,3,212,NA,4.80090430393641,-2.14457432169139,-1.42919347690104,6.81149682562295,0.0300000000000011
"two_step_LS",0.9,5000,3,212,NA,-3.03899830789106,9.97629132949593,3.87466718614169,4.81242621799477,0.0100000000000193
"mRock_kNN_global_linear_Neyman",0.9,5000,3,213,301,11.6075443994328,-0.967337926601408,-3.77817428757791,1.43029596629105,8.86
"mRock_kNN_global_bs_Neyman",0.9,5000,3,213,301,-2.2804220831231,6.12600492213379,1.15394508378625,-0.440027323964198,11.686
"mRock_kNN_global_linear_Neyman",0.9,5000,3,213,602,7.13116578310489,-1.18683313303895,-2.55777284083569,2.7284886156295,7.14699999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,213,602,-2.60825058918369,6.81033954960618,1.56091223394624,-0.0920752487676639,11.264
"two_step_Neyman",0.9,5000,3,213,NA,2.02801884916571,11.4192384901244,4.64164479072501,-4.64765256973409,0.0279999999999916
"two_step_LS",0.9,5000,3,213,NA,-9.00093898094574,26.2350300953558,12.6261552055496,-5.14567267311109,0.0110000000000241
"mRock_kNN_global_linear_Neyman",0.9,5000,3,214,301,14.0593094145574,-5.14286384197354,-4.36112246081268,-0.444001902097792,9.18599999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,214,301,0.565385893767523,2.00768531548668,0.827437275576961,-0.655500980618072,11.962
"mRock_kNN_global_linear_Neyman",0.9,5000,3,214,602,10.8626264349547,-5.0908669757622,-4.30060504868264,0.559156667573474,7.81200000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,214,602,0.792873405735892,2.01478565208269,0.281835700698455,-0.566324237489868,11.119
"two_step_Neyman",0.9,5000,3,214,NA,11.5775098893589,-0.387106346287786,-2.32776010650935,-5.00482986469195,0.0300000000000011
"two_step_LS",0.9,5000,3,214,NA,4.78721660245006,8.42455057029324,3.41553741665166,-6.31987698187452,0.0150000000000148
"mRock_kNN_global_linear_Neyman",0.9,5000,3,215,301,14.1534350917945,-6.39643760128348,-4.12576718498101,1.82476085298616,9.143
"mRock_kNN_global_bs_Neyman",0.9,5000,3,215,301,0.341527772446339,-3.97184416786939,-0.0329413573794812,5.11438650231139,12.05
"mRock_kNN_global_linear_Neyman",0.9,5000,3,215,602,11.2093582903882,-6.91861579755052,-4.01966167003165,2.49206876610412,7.483
"mRock_kNN_global_bs_Neyman",0.9,5000,3,215,602,0.0289351516900795,-4.70735844763295,-0.0167207430335372,4.81041549838387,11.039
"two_step_Neyman",0.9,5000,3,215,NA,2.89819678470973,-8.83437665574588,-1.92107377890643,14.2562110793681,0.02800000000002
"two_step_LS",0.9,5000,3,215,NA,-6.34958166885367,4.5167665118013,5.18253525577575,12.4428327644837,0.00899999999998613
"mRock_kNN_global_linear_Neyman",0.9,5000,3,216,301,15.1764096383886,-4.83519615395823,3.84325188838656,-3.43892760779572,8.596
"mRock_kNN_global_bs_Neyman",0.9,5000,3,216,301,0.557834151466114,0.980320149002845,7.0202358964812,-1.99385157325344,12.067
"mRock_kNN_global_linear_Neyman",0.9,5000,3,216,602,11.5962064461392,-3.05082717487463,2.53421392236731,-4.85400054305921,7.24599999999998
"mRock_kNN_global_bs_Neyman",0.9,5000,3,216,602,-0.195070636883335,0.945647747810885,6.81058440059263,-2.52538373953319,10.858
"two_step_Neyman",0.9,5000,3,216,NA,6.55047596710947,-0.523500249961932,8.00159595059664,-4.98353384176805,0.0389999999999873
"two_step_LS",0.9,5000,3,216,NA,-4.35746426788761,11.5165193643081,17.441897661774,-4.29606105087869,0.021000000000015
"mRock_kNN_global_linear_Neyman",0.9,5000,3,217,301,13.8145470174265,-4.54038829966286,-3.93807691625542,1.01090006991662,8.645
"mRock_kNN_global_bs_Neyman",0.9,5000,3,217,301,0.592872907577105,-0.769725085728892,0.156899268731156,1.40815197680761,11.59
"mRock_kNN_global_linear_Neyman",0.9,5000,3,217,602,10.6166124801688,-4.2046402314024,-4.3047146885647,-0.770152724132142,7.13
"mRock_kNN_global_bs_Neyman",0.9,5000,3,217,602,0.851665132444441,-0.604248006322277,-0.463116356424491,-0.371229252118057,11.023
"two_step_Neyman",0.9,5000,3,217,NA,6.69015923889462,-3.93101341078642,-0.604071161070942,2.4604708484769,0.0300000000000011
"two_step_LS",0.9,5000,3,217,NA,-0.892403571603483,8.79777672987982,3.12688963581365,1.18325967848488,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,218,301,13.9986963135364,-6.42229332955027,-1.02113123676158,-2.51431484544791,9.131
"mRock_kNN_global_bs_Neyman",0.9,5000,3,218,301,-0.174996411794704,-3.96723134894898,2.81806311029072,0.230992769661675,12.386
"mRock_kNN_global_linear_Neyman",0.9,5000,3,218,602,12.0617613093633,-5.40967874081287,-1.55946352219816,-2.27752103977395,7.60600000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,218,602,0.433562961127652,-2.70872609418859,2.64758713343413,-0.188924506408341,12.031
"two_step_Neyman",0.9,5000,3,218,NA,6.09577817286928,-5.33777346314161,0.0804852915506391,-1.15399984125213,0.0409999999999968
"two_step_LS",0.9,5000,3,218,NA,0.300468530633538,3.78231543721688,3.959898185923,-2.20435607764773,0.0150000000000148
"mRock_kNN_global_linear_Neyman",0.9,5000,3,219,301,12.5099303912137,-2.40511790914299,-1.70892867739407,-4.83477764135045,9.429
"mRock_kNN_global_bs_Neyman",0.9,5000,3,219,301,-0.776966703332976,1.66918351633359,1.01091616547789,-4.37200252722734,12.582
"mRock_kNN_global_linear_Neyman",0.9,5000,3,219,602,9.47257565644431,-3.76619250856184,-1.68846156484145,-2.64944277860934,7.822
"mRock_kNN_global_bs_Neyman",0.9,5000,3,219,602,-1.23311382651677,0.753437491558312,0.530484213968231,-3.71825166327455,11.643
"two_step_Neyman",0.9,5000,3,219,NA,4.62640126154089,-2.22728701774993,0.710503992127531,-4.10645210257185,0.039999999999992
"two_step_LS",0.9,5000,3,219,NA,-2.71233878180649,7.7625883210599,6.19223206696274,-4.75703771668747,0.01400000000001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,22,301,12.4154381537353,-0.411439967749628,-6.28403557515006,0.963550230204654,9.06700000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,22,301,-0.208743108495697,2.4127056698167,-1.28119252018639,2.2863866254654,11.996
"mRock_kNN_global_linear_Neyman",0.9,5000,3,22,602,10.5185969039987,0.292439661089062,-6.59391892533414,-1.46376067546758,7.351
"mRock_kNN_global_bs_Neyman",0.9,5000,3,22,602,-0.541396113888989,2.50359200199795,-3.21015280979881,1.92812083053138,11.18
"two_step_Neyman",0.9,5000,3,22,NA,4.38696500617814,4.11350184855211,-2.49649423861436,1.03729052614727,0.035000000000025
"two_step_LS",0.9,5000,3,22,NA,-6.4815863849205,18.6497917116386,3.93771220683576,2.11015203677351,0.0100000000000193
"mRock_kNN_global_linear_Neyman",0.9,5000,3,220,301,13.3604339859725,2.24810839706635,-9.44703631869043,-1.09501313750914,9.46100000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,220,301,0.0572565354469973,6.53197713212659,-6.63333842869568,-0.143817609414004,12.421
"mRock_kNN_global_linear_Neyman",0.9,5000,3,220,602,11.1612495271644,3.44331194188007,-9.22322013311751,-3.53687251570109,7.80199999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,220,602,0.0153981499805932,6.90926214393342,-6.15091825837723,-0.341636357803435,11.824
"two_step_Neyman",0.9,5000,3,220,NA,5.93753633203775,7.45789582602711,-7.87142422073665,-2.90823278027485,0.0319999999999823
"two_step_LS",0.9,5000,3,220,NA,-0.143193981898089,21.1768487654909,-7.72687250993731,-4.60799142936924,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,221,301,14.6265707237186,-0.494020928470546,-7.04032290378989,2.00520501944705,11.89
"mRock_kNN_global_bs_Neyman",0.9,5000,3,221,301,1.41422295136842,4.25453302794854,-2.73373763679291,2.24833079494461,14.271
"mRock_kNN_global_linear_Neyman",0.9,5000,3,221,602,12.2194088925958,-1.55128376095399,-7.75673963115378,1.93972312621882,9.31299999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,221,602,1.05932294131061,4.92702714539912,-3.19046507987086,1.9191695003989,12.895
"two_step_Neyman",0.9,5000,3,221,NA,6.49521326415351,4.53992903127469,-4.65377843056697,4.90298597511547,0.0320000000000107
"two_step_LS",0.9,5000,3,221,NA,-5.51310557812479,25.1831754958886,2.39907277918153,1.48371437341299,0.0130000000000052
"mRock_kNN_global_linear_Neyman",0.9,5000,3,222,301,11.068714398586,-6.49511010809551,-5.1636977936367,3.45120413751268,10.4
"mRock_kNN_global_bs_Neyman",0.9,5000,3,222,301,1.36395186222778,-2.86942461838064,-2.11956400459159,-0.640780009573726,13.542
"mRock_kNN_global_linear_Neyman",0.9,5000,3,222,602,9.54626967679569,-5.9608792801474,-5.03224964289416,0.593599767279258,8.369
"mRock_kNN_global_bs_Neyman",0.9,5000,3,222,602,1.76704242139371,-2.8912372895598,-2.66512977336003,-0.955337537551685,12.669
"two_step_Neyman",0.9,5000,3,222,NA,7.94806383120572,-2.06253969019958,-4.72062625475561,-2.70921073080659,0.0389999999999873
"two_step_LS",0.9,5000,3,222,NA,2.56200711894276,6.01976982578877,-1.25020868414012,-3.27091331141464,0.0130000000000052
"mRock_kNN_global_linear_Neyman",0.9,5000,3,223,301,11.7255444279782,-1.747211439364,-3.92045512753407,1.37865381413667,12.119
"mRock_kNN_global_bs_Neyman",0.9,5000,3,223,301,-1.40329041680189,2.46734168480289,0.512435815047422,1.41756632541004,14.655
"mRock_kNN_global_linear_Neyman",0.9,5000,3,223,602,8.14514522382977,-3.78354506651833,-3.67244949866014,1.90792663864248,8.51300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,223,602,-1.07639538110518,2.07948323933347,-0.00711790203387253,1.01505766396346,12.325
"two_step_Neyman",0.9,5000,3,223,NA,3.77138085895184,5.61322571061593,1.23666746630721,-2.15406788069705,0.0480000000000018
"two_step_LS",0.9,5000,3,223,NA,-3.95174545106162,18.0298969646823,4.10180226391687,-1.9011446963997,0.0190000000000055
"mRock_kNN_global_linear_Neyman",0.9,5000,3,224,301,13.5686054488353,-4.69202173963947,-5.99665537761455,3.75184353468546,11.098
"mRock_kNN_global_bs_Neyman",0.9,5000,3,224,301,-0.751567590747569,-1.37548355246851,-1.71735661434864,3.78606101711912,13.952
"mRock_kNN_global_linear_Neyman",0.9,5000,3,224,602,11.8888718532397,-4.65608966474778,-5.39690106341433,1.7017015978143,8.54999999999998
"mRock_kNN_global_bs_Neyman",0.9,5000,3,224,602,-0.74385507829386,-0.215711730418217,-1.18749888322297,2.47236639739763,13.11
"two_step_Neyman",0.9,5000,3,224,NA,5.66293773537661,-5.71221445884014,-3.15320210815102,4.17388530531783,0.0310000000000059
"two_step_LS",0.9,5000,3,224,NA,-1.72973099173153,3.66657705518661,0.931823354976967,5.60080358208893,0.0130000000000052
"mRock_kNN_global_linear_Neyman",0.9,5000,3,225,301,13.8529897227105,-7.62985798833053,-5.88577666262909,-2.96996701332299,8.679
"mRock_kNN_global_bs_Neyman",0.9,5000,3,225,301,0.740836494326727,-2.08453674822623,-3.05593527662738,-4.32587347554383,12.04
"mRock_kNN_global_linear_Neyman",0.9,5000,3,225,602,10.6269532212226,-8.04152837075632,-5.09308514969104,-2.58153157226687,7.172
"mRock_kNN_global_bs_Neyman",0.9,5000,3,225,602,1.00212456150256,-3.59414242064803,-3.07924049861513,-4.31015029769841,11.552
"two_step_Neyman",0.9,5000,3,225,NA,7.59541812237609,-4.51149159927434,-5.77969251833552,-5.94733617838246,0.0340000000000202
"two_step_LS",0.9,5000,3,225,NA,1.16213318375205,4.09618078864648,-1.85326656450402,-6.04508826178091,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,226,301,12.0758298352694,-8.53947754739752,-2.08760604075234,1.35899410216376,8.16500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,226,301,-3.03157780830482,-3.63040637454933,1.89777344866585,3.11424571738954,12.115
"mRock_kNN_global_linear_Neyman",0.9,5000,3,226,602,9.65558790226022,-8.85371445363283,-1.48887192568576,1.30891152985798,6.96600000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,226,602,-3.43957310512573,-3.42140933010171,2.86897353990218,1.34201977492537,10.923
"two_step_Neyman",0.9,5000,3,226,NA,4.09355730492587,-7.4283141817304,1.71027830785983,1.42500026368554,0.0300000000000011
"two_step_LS",0.9,5000,3,226,NA,-4.80962918087872,5.55050872492711,7.84396792063502,0.0679340235402313,0.0110000000000241
"mRock_kNN_global_linear_Neyman",0.9,5000,3,227,301,11.9311273952866,-7.47733347471196,-3.78362811211805,1.34380471737919,8.92699999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,227,301,-0.918362919266674,-1.4539099900473,0.554632223056952,-1.60869083878552,12.205
"mRock_kNN_global_linear_Neyman",0.9,5000,3,227,602,9.08217469067419,-5.74000538794741,-3.0150928837425,-2.22712988352922,7.39099999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,227,602,-0.156881666088265,-0.320493580609615,0.836193920473613,-3.15430083859963,11.012
"two_step_Neyman",0.9,5000,3,227,NA,4.45724666548234,-2.99229424711,1.59087774088256,-1.51696756193555,0.0300000000000011
"two_step_LS",0.9,5000,3,227,NA,-2.60347655437122,7.08695092900376,5.5525162130637,-1.14183430776971,0.0150000000000148
"mRock_kNN_global_linear_Neyman",0.9,5000,3,228,301,11.5073206565919,-5.14300681983937,-1.66993050205474,3.2888422788944,8.545
"mRock_kNN_global_bs_Neyman",0.9,5000,3,228,301,-0.789113638425924,-1.31069443785318,4.26767220048379,8.41534478903525,11.617
"mRock_kNN_global_linear_Neyman",0.9,5000,3,228,602,8.16516935216809,-7.59129412214506,0.325618236455468,5.78234390690078,7.36199999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,228,602,-0.998580370193099,-2.05454445929649,4.7796273280806,8.00642284721927,11.158
"two_step_Neyman",0.9,5000,3,228,NA,4.82348795705687,-3.13299970927666,3.69354131473132,8.84220278861077,0.0349999999999966
"two_step_LS",0.9,5000,3,228,NA,-1.97733237214232,5.68476598670516,8.46157387652651,8.67862014811816,0.0100000000000193
"mRock_kNN_global_linear_Neyman",0.9,5000,3,229,301,14.2809620425241,-8.62178276742768,-1.40935732485533,-2.13312879122515,10.121
"mRock_kNN_global_bs_Neyman",0.9,5000,3,229,301,-0.874464392813933,-1.76340120362846,1.69259712833474,-0.967479322000647,13.917
"mRock_kNN_global_linear_Neyman",0.9,5000,3,229,602,10.2647377123722,-7.1397917647904,-0.883523697745986,-2.10812166967759,8.58000000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,229,602,-0.869276790607072,-1.86683590768727,1.62312454057889,-1.16880734609712,12.812
"two_step_Neyman",0.9,5000,3,229,NA,6.64920715092696,-5.78023767645506,1.61898714644576,-1.48438545382203,0.039999999999992
"two_step_LS",0.9,5000,3,229,NA,-2.43544633014277,5.51660168489948,8.926518470418,-1.77838596660474,0.0160000000000196
"mRock_kNN_global_linear_Neyman",0.9,5000,3,23,301,12.7535513917978,-13.5428324402102,-0.324737677114419,2.49304132648267,8.40000000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,23,301,0.345284894771343,-9.0170947635786,2.48840395304974,2.35641164622885,11.515
"mRock_kNN_global_linear_Neyman",0.9,5000,3,23,602,10.4573960320722,-10.9363640061253,1.13309594888078,0.678201521134485,7.63800000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,23,602,0.539326331611851,-7.62058383504869,3.12087901563713,0.573813313384918,10.72
"two_step_Neyman",0.9,5000,3,23,NA,5.88176376401574,-11.5708812162091,3.72965123617101,1.1247528328606,0.0310000000000059
"two_step_LS",0.9,5000,3,23,NA,-2.07750099105379,-0.144221902064516,9.0049189257765,0.300768867123876,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,230,301,12.2765909680987,-8.46069891754628,-6.6872271781076,0.0523400448756091,9.52500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,230,301,-0.2406706129376,-5.08855733375981,-4.1947170654477,-0.0889532505264816,13.411
"mRock_kNN_global_linear_Neyman",0.9,5000,3,230,602,11.1905571468649,-7.93606435374272,-6.98444077345446,-0.085185520089528,8.441
"mRock_kNN_global_bs_Neyman",0.9,5000,3,230,602,0.52848019213159,-7.45116528557977,-5.14921466005052,0.757190185812588,12.448
"two_step_Neyman",0.9,5000,3,230,NA,6.94668680965297,-10.6922139231157,-6.28271369339745,-0.0224328600531081,0.0339999999999918
"two_step_LS",0.9,5000,3,230,NA,1.86891346647972,-3.27426560354809,-3.20619586780847,-0.0463881741499936,0.0149999999999864
"mRock_kNN_global_linear_Neyman",0.9,5000,3,231,301,12.7328842039155,-4.97655940953285,-4.02209989523298,2.30332520497076,7.824
"mRock_kNN_global_bs_Neyman",0.9,5000,3,231,301,-2.16867696822538,0.331782695341316,0.782287693994053,2.7810219443477,10.957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,231,602,9.16389612348697,-3.11176007020832,-3.1598061965169,2.0496646965255,6.84100000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,231,602,-2.81230355496228,2.17283950350402,1.78444217918387,1.84027442654096,10.879
"two_step_Neyman",0.9,5000,3,231,NA,2.06276439952467,2.47605463459475,1.74063728822887,3.85137051986185,0.0289999999999964
"two_step_LS",0.9,5000,3,231,NA,-4.70167055306902,12.4260412918375,4.87796695905257,4.20236267433825,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,232,301,12.2419269250578,-7.03594064223444,-5.93913106317886,-0.268581912279539,9.39100000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,232,301,-1.02391569750972,-2.4283069562306,-1.0445508153891,-0.437488270283885,12.516
"mRock_kNN_global_linear_Neyman",0.9,5000,3,232,602,9.38847411924019,-7.59825888839949,-5.59038982900757,-1.66606093124342,7.85900000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,232,602,-0.8256239606124,-1.60151092071988,-1.22490836738671,-2.58694403062939,11.663
"two_step_Neyman",0.9,5000,3,232,NA,7.34683795805731,-4.15168368382352,-4.82030749178789,-4.03767513674295,0.0330000000000155
"two_step_LS",0.9,5000,3,232,NA,0.24212229022595,8.96503977447929,-0.589641130878223,-7.61711072858175,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,233,301,16.7302942537226,-3.58834256820615,-4.40264810425484,-3.06354166685411,10.742
"mRock_kNN_global_bs_Neyman",0.9,5000,3,233,301,1.68792675205629,1.47832207248111,-0.20403839694691,-0.403087932616461,12.792
"mRock_kNN_global_linear_Neyman",0.9,5000,3,233,602,14.3395458715063,-3.56848422732551,-5.23425632866397,-2.86935293331698,8.35300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,233,602,2.35630963965942,1.87320012730109,-0.168021516990953,-1.06659264471768,12.208
"two_step_Neyman",0.9,5000,3,233,NA,9.2280844383067,1.51607196184555,-0.852625890303906,-1.3846732318975,0.0320000000000107
"two_step_LS",0.9,5000,3,233,NA,1.43946161240779,14.7173488482713,3.28391820066822,-3.00680628708212,0.0169999999999959
"mRock_kNN_global_linear_Neyman",0.9,5000,3,234,301,15.1735584362454,0.921633509285215,-4.59443675418822,-1.90228603746557,9.161
"mRock_kNN_global_bs_Neyman",0.9,5000,3,234,301,1.18210451069551,6.4788947673931,0.84060335435291,-4.28022703776161,11.851
"mRock_kNN_global_linear_Neyman",0.9,5000,3,234,602,10.6494264770114,0.658694365056844,-3.38069152670813,-3.26079671001068,8.06
"mRock_kNN_global_bs_Neyman",0.9,5000,3,234,602,1.40420909304529,7.1016782749281,0.781536091479833,-5.84988332136838,11.364
"two_step_Neyman",0.9,5000,3,234,NA,7.61230751898893,10.5331462513027,0.428794548652657,-7.67292257440274,0.0300000000000011
"two_step_LS",0.9,5000,3,234,NA,-1.09884826294807,22.2587648640799,6.9862842444673,-8.39153540740348,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,235,301,12.0540809847501,-4.24928626587182,-3.14509954394581,2.02806374528407,8.836
"mRock_kNN_global_bs_Neyman",0.9,5000,3,235,301,0.781911756828401,-0.266564014880148,1.24945563136665,2.5109495061413,11.831
"mRock_kNN_global_linear_Neyman",0.9,5000,3,235,602,8.29469554289591,-3.76177640083015,-2.65747493612273,1.98306975360503,8.208
"mRock_kNN_global_bs_Neyman",0.9,5000,3,235,602,-0.0919103921139424,-0.580862578936274,1.20003227592965,3.79618983932108,11.336
"two_step_Neyman",0.9,5000,3,235,NA,0.841089678332682,-4.36002775525612,2.67649840292121,13.1253459172445,0.0320000000000107
"two_step_LS",0.9,5000,3,235,NA,-6.37503890302754,6.3046119858959,7.47154995969168,12.0009063830843,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,236,301,13.3839136558959,-5.13155395142253,-7.47850694713597,0.924798745625302,9.069
"mRock_kNN_global_bs_Neyman",0.9,5000,3,236,301,1.79908953027246,-2.18893027313832,-3.73838384805691,3.95249594242844,11.818
"mRock_kNN_global_linear_Neyman",0.9,5000,3,236,602,12.1787920584571,-6.86293288540569,-8.48096331579297,1.03466324887638,7.33800000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,236,602,2.03488794045932,-1.86532813922338,-3.67188521227847,3.4610177310237,10.629
"two_step_Neyman",0.9,5000,3,236,NA,4.47153781066215,-1.50370515595993,-1.20134093516811,6.10542919433137,0.0289999999999964
"two_step_LS",0.9,5000,3,236,NA,-1.17629698876551,7.09111529984825,2.3714195584201,5.03047684072751,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,237,301,16.0499202304216,-9.432497306119,-6.8861869554793,0.090445390055077,8.26599999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,237,301,2.10559381631873,-6.55643401187185,-2.31002461359017,3.26239989233557,11.738
"mRock_kNN_global_linear_Neyman",0.9,5000,3,237,602,11.6913218238027,-8.67132364813378,-5.52660473845612,-0.259396451338289,7.131
"mRock_kNN_global_bs_Neyman",0.9,5000,3,237,602,1.99954431321066,-5.47598663908852,-2.25618857020034,1.47865803762527,11.219
"two_step_Neyman",0.9,5000,3,237,NA,9.24982966260605,-8.91940627058215,-5.6306673660152,4.13811098731214,0.0310000000000059
"two_step_LS",0.9,5000,3,237,NA,3.22332597693041,-0.539661998096401,-2.14625575769051,3.94512341646858,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,238,301,12.1108613922783,0.749229486415018,-4.77568835129027,-0.496020590812324,8.611
"mRock_kNN_global_bs_Neyman",0.9,5000,3,238,301,1.7596040644185,7.20867420067065,0.755518236556086,-1.96028365268605,12.274
"mRock_kNN_global_linear_Neyman",0.9,5000,3,238,602,10.2409855983248,1.58057469745753,-4.90264655355057,-1.44577192083106,7.39000000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,238,602,1.69827243986729,7.56566933703465,0.652912529679039,-2.38805745383337,11.217
"two_step_Neyman",0.9,5000,3,238,NA,6.87761549154833,10.0147707150439,-0.460480382590839,-6.6818786732027,0.0330000000000155
"two_step_LS",0.9,5000,3,238,NA,-0.457049555573393,17.545309038627,2.9812181466884,-2.92285739225158,0.0129999999999768
"mRock_kNN_global_linear_Neyman",0.9,5000,3,239,301,14.7978688282685,-13.3210284904111,1.50638577579117,-0.0314417323261325,9.392
"mRock_kNN_global_bs_Neyman",0.9,5000,3,239,301,0.18613395008073,-6.73031910566852,4.79806022512194,1.83374737842914,12.052
"mRock_kNN_global_linear_Neyman",0.9,5000,3,239,602,9.75186446027224,-11.7944451177918,2.87236726201512,1.08858258999528,7.964
"mRock_kNN_global_bs_Neyman",0.9,5000,3,239,602,0.310381189038303,-7.26411742505388,5.34481985836926,1.55980835335428,11.485
"two_step_Neyman",0.9,5000,3,239,NA,6.05960860801336,-10.9374674509529,5.33908613681162,3.37313929034684,0.0300000000000011
"two_step_LS",0.9,5000,3,239,NA,-2.04534975289475,-0.609357952071363,10.2041153805867,3.97080770073428,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,24,301,12.9742336818577,-4.72379950513681,-8.14927737241596,2.57245085757279,8.084
"mRock_kNN_global_bs_Neyman",0.9,5000,3,24,301,-0.979936244042729,0.662836637659425,-2.10758148603751,-0.623890853113913,12.125
"mRock_kNN_global_linear_Neyman",0.9,5000,3,24,602,10.7359957580182,-5.34800170922178,-7.49911736526762,2.69500579484095,7.309
"mRock_kNN_global_bs_Neyman",0.9,5000,3,24,602,-0.572685219294294,0.982637299698293,-2.12575787644074,-0.914709187374363,11.236
"two_step_Neyman",0.9,5000,3,24,NA,6.90521271264503,-0.927389576719364,-6.2647835446226,-0.606753568083379,0.0310000000000059
"two_step_LS",0.9,5000,3,24,NA,-1.41884292235829,10.4783668483096,-1.73698788018528,0.353986034997761,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,240,301,15.3303256065851,-2.01543063908834,-3.01512790630222,-6.60087160945513,8.26799999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,240,301,1.0584722965074,0.292053881275727,-0.480975596411469,-5.59703836289714,12.08
"mRock_kNN_global_linear_Neyman",0.9,5000,3,240,602,10.7757465346869,-3.48451089152728,-1.73583022967652,-5.57721200843226,7.17599999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,240,602,0.305745186784772,-0.620729419760941,-0.889455290951139,-4.04004648530864,10.729
